re_theta,x,H,cf,cf_coles_fernholz,cf_power_law,band,corr_spread,dev,inside,H_ref_clauser,H_rel_to_ref
1509.5606669808426,10.405879161366988,1.4296208157548598,0.003585765663612176,0.0037195361687768244,0.0038503357247590382,0.06911586236692194,0.03455793118346097,0.0687135044992524,1,1.420085477562848,0.006714622705934925
1578.588746742357,10.792612651843807,1.4269878819610895,0.0035541840632112927,0.0036824608276395357,0.0038075357617553527,0.06679572286743683,0.033397861433718416,0.06653954536391793,1,1.4169367699204496,0.0070935501527031875
1649.5580836719785,11.193719055011334,1.4244316460319542,0.0035235056807257,0.003646534208963704,0.003765904813206031,0.06441637031228392,0.03220818515614196,0.06436677093650955,1,1.4138767590678025,0.007465210030830782
1722.5357960212755,11.609732538776672,1.421946820466409,0.003493672319825895,0.003611679174360199,0.0037253679829492544,0.061980688498529876,0.030990344249264938,0.06219403403470847,0,1.4108995520829002,0.007829946764955631
1797.5907891907784,12.04120712334542,1.419528646845556,0.003464631188827375,0.0035778260778722873,0.00368585743518044,0.05949122486629391,0.029745612433146953,0.060020293851174245,0,1.407999821916565,0.008188086922694238
1874.7938458011424,12.488717419030417,1.4171728274356947,0.0034363342743886495,0.003544911843946369,0.0036473115497402215,0.056950236492231396,0.028475118246115698,0.05784459936431774,0,1.4051727384736992,0.008539938637743605
1954.2177151086407,12.952859391481095,1.4148754679155384,0.0034087377985572913,0.003512879181440114,0.00360967419902365,0.05435972882928896,0.02717986441464448,0.05566607660068279,0,1.4024139097801125,0.008885791882497607
2035.937202178135,13.434251155352479,1.4126330289490503,0.003381801747826742,0.0034816759104690353,0.003572894126214557,0.051721488493948926,0.025860744246974463,0.05348391853700829,0,1.3997193315266798,0.009225919176443442
2120.029257196663,13.93353379747084,1.410442284905775,0.0033554894640139663,0.0034512543833435114,0.003536924408364855,0.049037111141456695,0.024518555570728347,0.05129737687404157,0,1.3970853436083372,0.009560576494876072
2206.573065276754,14.451372230592213,1.408300288451314,0.0033297672879601435,0.003421570984358884,0.0035017219908645147,0.046308025266282755,0.023154012633141378,0.04910575521214311,0,1.394508592532733,0.009890004258440888
2295.6501370669876,14.988456078890765,1.4062043399919013,0.003304604248462615,0.00339258569598566,0.003467247282259762,0.04353551260555533,0.021767756302777663,0.046908403282717503,0,1.3919859987777787,0.010214428325146185
2387.344400455953,15.54550059635626,1.404151961197916,0.003279971789808095,0.0033642617212293843,0.0034334638003112625,0.04072072569720003,0.020360362848600017,0.04470471204305482,0,1.3895147283407232,0.010534060962902991
2481.7422936302605,16.123247619323664,1.402140871945077,0.003255843532517042,0.0033365651537122717,0.0034003378617418743,0.03786470304429847,0.018932351522149234,0.042494109438528715,0,1.3870921678525743,0.010849101769351277
2578.932859727094,16.722466554403432,1.4001689701622642,0.003232195062584618,0.003309464688466341,0.0033678383093849983,0.03496838225699269,0.017484191128496345,0.04027605672825496,0,1.384715902737648,0.011159738538471853
