eta,side,x_over_c,cp
0.90,lower,0.47341,-0.222016
0.90,lower,0.50278,-0.217689
0.90,lower,0.53662,-0.170248
0.90,lower,0.56599,-0.165309
0.90,lower,0.59968,-0.140563
0.90,lower,0.62902,-0.130199
0.90,lower,0.66269,-0.094137
0.90,lower,0.69200,-0.094633
0.90,lower,0.72564,-0.056753
0.90,lower,0.75494,-0.051328
0.90,lower,0.77420,-0.024374
0.90,lower,0.80348,-0.025159
0.90,lower,0.81792,0.021445
0.90,lower,0.84726,0.020987
0.90,lower,0.88232,0.075265
0.90,lower,0.91071,0.074787
0.90,lower,0.93924,0.146153
0.90,lower,0.96053,0.165846
0.90,lower,0.97702,0.187701
0.90,lower,0.98285,0.290918
0.90,lower,0.99937,0.277033
0.96,upper,0.00000,-0.017507
0.96,upper,0.00852,-0.056733
0.96,upper,0.02106,-0.717679
0.96,upper,0.03616,-0.722075
0.96,upper,0.04472,-0.770064
0.96,upper,0.06115,-0.813204
0.96,upper,0.08420,-0.667287
0.96,upper,0.12056,-0.645657
0.96,upper,0.15503,-0.686880
0.96,upper,0.18933,-0.546940
0.96,upper,0.22103,-0.484776
0.96,upper,0.25333,-0.379431
0.96,upper,0.28590,-0.376734
0.96,upper,0.31877,-0.343692
0.96,upper,0.34882,-0.304910
0.96,upper,0.38258,-0.272599
0.96,upper,0.41510,-0.255662
0.96,upper,0.44737,-0.235813
0.96,upper,0.47905,-0.248552
0.96,upper,0.51167,-0.228991
0.96,upper,0.54384,-0.184605
0.96,upper,0.56629,-0.163256
0.96,upper,0.59956,-0.179853
0.96,upper,0.61079,-0.107874
0.96,upper,0.64274,-0.105317
0.96,upper,0.67493,-0.126676
0.96,upper,0.70518,-0.092332
0.96,upper,0.73689,-0.045320
0.96,upper,0.76318,-0.013809
0.96,upper,0.79617,-0.107107
0.96,upper,0.82141,0.027837
0.96,upper,0.85960,0.053439
0.96,upper,0.88518,0.101984
0.96,upper,0.89371,0.065653
0.96,upper,0.92237,0.133818
0.96,upper,0.96290,0.112503
0.96,upper,0.98075,0.138391
0.96,upper,0.98507,0.236736
0.96,upper,1.00000,0.271578
0.96,lower,0.00082,0.738814
0.96,lower,0.00772,0.570500
0.96,lower,0.01847,0.183793
0.96,lower,0.03661,-0.052015
0.96,lower,0.06663,-0.113228
0.96,lower,0.08977,-0.200485
0.96,lower,0.09174,-0.168492
0.96,lower,0.10540,-0.221088
0.96,lower,0.13715,-0.218903
0.96,lower,0.15789,-0.226202
0.96,lower,0.18998,-0.245634
0.96,lower,0.22206,-0.251952
0.96,lower,0.25380,-0.226771
0.96,lower,0.28687,-0.219594
0.96,lower,0.31847,-0.228441
0.96,lower,0.35248,-0.228919
0.96,lower,0.38220,-0.206267
0.96,lower,0.41885,-0.204310
0.96,lower,0.44174,-0.246157
0.96,lower,0.46008,-0.154220
0.96,lower,0.49526,-0.181265
0.96,lower,0.52965,-0.209216
0.96,lower,0.55865,-0.174438
0.96,lower,0.60641,-0.087439
0.96,lower,0.63852,-0.103519
0.96,lower,0.64701,-0.079874
0.96,lower,0.67920,-0.099253
0.96,lower,0.71427,-0.061728
0.96,lower,0.74306,-0.046082
0.96,lower,0.77079,-0.035965
0.96,lower,0.79162,-0.048151
0.96,lower,0.81110,-0.051749
0.96,lower,0.84641,0.017146
0.96,lower,0.87924,0.028789
0.96,lower,0.87994,0.056978
0.96,lower,0.91128,0.051054
0.96,lower,0.95069,0.127716
0.96,lower,0.97277,0.105453
0.96,lower,0.98689,0.240033
0.96,lower,0.99984,0.248522
