idx,sigma,sigma_rel_max
250,3.6341858758788402e-03,3.6341850846518015e-03
251,3.6301187098660686e-03,3.6301179195245242e-03
252,3.6049968307868088e-03,3.6049960459147452e-03
253,3.5817145556020849e-03,3.5817137757989878e-03
254,3.5325476087019803e-03,3.5325468396034039e-03
255,3.5116868845475680e-03,3.5116861199907430e-03
256,3.5112192687780921e-03,3.5112185043230755e-03
257,3.4989689822615025e-03,3.4989682204735915e-03
258,3.4334855772557237e-03,3.4334848297247170e-03
259,3.4146825179953268e-03,3.4146817745580814e-03
260,3.4011271819693371e-03,3.4011264414833299e-03
261,3.3866390265289274e-03,3.3866382891972499e-03
262,3.3508681999481404e-03,3.3508674704044094e-03
263,3.3247626879674961e-03,3.3247619641074001e-03
264,3.3114999293233998e-03,3.3114992083508430e-03
265,3.3030099587381912e-03,3.3030092396140521e-03
266,3.2505886465258853e-03,3.2505879388148003e-03
267,3.2288619728417702e-03,3.2288612698609695e-03
268,3.2281158878072940e-03,3.2281151849889293e-03
269,3.1965401801253629e-03,3.1965394841815924e-03
270,3.1513207603907109e-03,3.1513200742920139e-03
271,3.1285382604881035e-03,3.1285375793495629e-03
272,3.1018080338979840e-03,3.1018073585790903e-03
273,3.0787900012372179e-03,3.0787893309297599e-03
274,3.0596389225700372e-03,3.0596382564321103e-03
275,3.0434740435319901e-03,3.0434733809134454e-03
276,3.0272347167163718e-03,3.0272340576334182e-03
277,2.9805761589147928e-03,2.9805755099902389e-03
278,2.9697941869604293e-03,2.9697935403833029e-03
279,2.9513581055939501e-03,2.9513574630306871e-03
280,2.9100611985536564e-03,2.9100605649814660e-03
281,2.8812800082588974e-03,2.8812793809528852e-03
282,2.8641455994757583e-03,2.8641449759002125e-03
283,2.8221310489617243e-03,2.8221304345334946e-03
284,2.8121860434358985e-03,2.8121854311728739e-03
285,2.7987319875400493e-03,2.7987313782062125e-03
286,2.7682651872440746e-03,2.7682645845434031e-03
287,2.7267232843766732e-03,2.7267226907204145e-03
288,2.7170054874221948e-03,2.7170048958816738e-03
289,2.6789784225434944e-03,2.6789778392821433e-03
290,2.6728884151278371e-03,2.6728878331923889e-03
291,2.6312600769358078e-03,2.6312595040635912e-03
292,2.6237188635159767e-03,2.6237182922856164e-03
293,2.5786795117487054e-03,2.5786789503242148e-03
294,2.5439676120991360e-03,2.5439670582320445e-03
295,2.5431847738886467e-03,2.5431842201919931e-03
296,2.5265586322677728e-03,2.5265580821909267e-03
297,2.4699032770043971e-03,2.4699027392624316e-03
298,2.4571722950638281e-03,2.4571717600936241e-03
299,2.4379937280272087e-03,2.4379931972325205e-03
300,2.4160798089249268e-03,2.4160792829012894e-03
301,2.3947272544858665e-03,2.3947267331110608e-03
302,2.3818671853959323e-03,2.3818666668209928e-03
303,2.3402726727697830e-03,2.3402721632507103e-03
304,2.3234343782891735e-03,2.3234338724360979e-03
305,2.2840121322282112e-03,2.2840116349580612e-03
306,2.2753876038827362e-03,2.2753871084902995e-03
307,2.2261426362142644e-03,2.2261421515433351e-03
308,2.2211974678904706e-03,2.2211969842961922e-03
309,2.1826419057202097e-03,2.1826414305201646e-03
310,2.1746775799064912e-03,2.1746771064404219e-03
311,2.1393707827826046e-03,2.1393703170034541e-03
312,2.1145592190191897e-03,2.1145587586419590e-03
313,2.0991130043437685e-03,2.0991125473294541e-03
314,2.0897940050337294e-03,2.0897935500483271e-03
315,2.0804557224880023e-03,2.0804552695357107e-03
