state,arm,eta,foot,j1,d,sat
W M0.88,P0,0.96,0.9921680701166081,0.5341769957328869,0.4579910743837212,1
W M0.88,P0,0.99,0.9867665143853118,0.5644383045933794,0.4223282097919324,1
W M0.88,P1,0.2,0.7884646723843592,0.800490567214696,-0.01202589483033678,0
W M0.88,P1,0.44,0.7368883428576719,0.73916087274921,-0.0022725298915381442,0
W M0.88,P1,0.65,0.680449389431921,0.6814392435018977,-0.0009898540699766478,0
W M0.88,P1,0.8,0.6363616595582855,0.6371611084235318,-0.0007994488652462994,0
W M0.88,P1,0.9,0.5905440080667369,0.5883277435233024,0.0022162645434344874,0
W M0.88,P1,0.96,0.9920031353257368,0.5341769957328869,0.4578261395928499,1
W M0.88,P1,0.99,0.98513756469765,0.5644383045933794,0.4206992601042706,1
W M0.88,P2,0.2,0.7884646723843592,0.800490567214696,-0.01202589483033678,0
W M0.88,P2,0.44,0.728678492822232,0.73916087274921,-0.010482379926978092,0
W M0.88,P2,0.65,0.6789812951839803,0.6814392435018977,-0.0024579483179173467,0
W M0.88,P2,0.8,0.6161935371316576,0.6371611084235318,-0.02096757129187421,0
W M0.88,P2,0.9,0.5854732349088839,0.5883277435233024,-0.002854508614418494,0
W M0.88,P2,0.96,0.9920031353257368,0.5341769957328869,0.4578261395928499,1
W M0.88,P2,0.99,0.9816632691416428,0.5644383045933794,0.4172249645482634,1
W M0.88,P3,0.2,0.7884646723843592,0.800490567214696,-0.01202589483033678,0
W M0.88,P3,0.44,0.7368883428576719,0.73916087274921,-0.0022725298915381442,0
W M0.88,P3,0.65,0.680449389431921,0.6814392435018977,-0.0009898540699766478,0
W M0.88,P3,0.8,0.6363616595582855,0.6371611084235318,-0.0007994488652462994,0
W M0.88,P3,0.9,0.5905440080667369,0.5883277435233024,0.0022162645434344874,0
W M0.88,P3,0.96,0.9856717028026137,0.5341769957328869,0.45149470706972683,1
W M0.88,P3,0.99,0.9816632691416428,0.5644383045933794,0.4172249645482634,1
W M0.88,S1,0.2,0.7884646723843592,0.800490567214696,-0.01202589483033678,0
W M0.88,S1,0.44,0.7368883428576719,0.73916087274921,-0.0022725298915381442,0
W M0.88,S1,0.65,0.680449389431921,0.6814392435018977,-0.0009898540699766478,0
W M0.88,S1,0.8,0.6363616595582855,0.6371611084235318,-0.0007994488652462994,0
W M0.88,S1,0.9,0.5905440080667369,0.5883277435233024,0.0022162645434344874,0
W M0.88,S1,0.96,0.9856717028026137,0.5341769957328869,0.45149470706972683,1
W M0.88,S1,0.99,0.98513756469765,0.5644383045933794,0.4206992601042706,1
W M0.88,S2,0.2,0.7884646723843592,0.800490567214696,-0.01202589483033678,0
W M0.88,S2,0.44,0.7368883428576719,0.73916087274921,-0.0022725298915381442,0
W M0.88,S2,0.65,0.680449389431921,0.6814392435018977,-0.0009898540699766478,0
W M0.88,S2,0.8,0.6363616595582855,0.6371611084235318,-0.0007994488652462994,0
W M0.88,S2,0.9,0.5854732349088839,0.5883277435233024,-0.002854508614418494,0
