level,n_nodes,arm,n_picard_seed,entropy_correction,mach,cl,cl_over_alpha0_baseline,cd_pressure,x_shock_upper,x_shock_lower,dx_shock,converged,residual,n_limited,n_floored,n_threads,wall_s
medium,21874,cold,5,1,0.86,-0.5209030969658474,434.09,0.06407883100925765,0.5886127369960272,0.984023186899389,-0.3954104499033617,1,2.6391844877815055e-13,0,0,8,15.33
medium,21874,ramp,0,1,0.78,6.12109600136245e-05,0.05,0.002645034512648254,0.40375303507059174,0.40146297708977113,0.0022900579808206034,1,5.107074750028037e-11,0,0,8,5.68
medium,21874,ramp,0,1,0.8,-0.007955604299007164,6.63,0.006598310635777798,0.4872251524900919,0.4971920353860241,-0.009966882895932172,1,2.298699270821892e-12,0,0,8,4.31
medium,21874,ramp,0,1,0.82,-0.01661625332351227,13.85,0.014779077103866325,0.5815783955796175,0.6003681742841308,-0.01878977870451326,1,2.5462349400152766e-13,0,0,8,8.31
medium,21874,ramp,0,1,0.83,-0.0026032267702871493,2.17,0.02086659034850981,0.6331466962105005,0.6349509676290267,-0.0018042714185262376,1,2.0328288216917998e-13,0,0,8,3.17
medium,21874,ramp,0,1,0.84,-0.08692123685937293,72.43,0.02916979787055037,0.6489787118067419,0.7267094827390664,-0.0777307709323245,1,2.600584520799787e-13,0,0,8,7.41
medium,21874,ramp,0,1,0.85,-0.5034912155426378,419.58,0.05405983160756488,0.558612239402853,0.9417874478449683,-0.3831752084421153,0,1.6229344431762168e-06,0,0,8,10.39
medium,21874,ramp,0,1,0.86,0.19550100341376103,162.92,0.02969825298877013,0.8006132685137776,0.7306484331624009,0.06996483535137665,0,0.0016241075857563638,505,319,8,6.5
medium,21874,cold_no_entropy,5,0,0.78,0.001661602329437054,1.38,0.002563240619929765,0.4076269503674246,0.4042720932921827,0.003354857075241857,1,2.2669244823271965e-13,0,0,8,6.42
medium,21874,cold_no_entropy,5,0,0.8,0.0022024638929124176,1.84,0.006482132869412946,0.5003371422708528,0.49893914025423125,0.0013980020166215468,1,1.994067748523814e-13,0,0,8,12.84
medium,21874,cold_no_entropy,5,0,0.82,0.004257639030709718,3.55,0.0151506193058669,0.6011827547566783,0.6001352841391557,0.001047470617522528,0,4.7303089083281664e-08,0,0,8,13.83
medium,21874,cold_no_entropy,5,0,0.83,0.006764172026569809,5.64,0.021938108537891084,0.6559213706500666,0.6521515781977285,0.0037697924523381054,0,1.7202517999344462e-07,0,0,8,14.18
medium,21874,cold_no_entropy,5,0,0.84,0.10795789563744963,89.96,0.03142574197971154,0.7486746037804705,0.6689787988255078,0.07969580495496265,0,1.92648842237274e-06,0,0,8,15.14
medium,21874,cold_no_entropy,5,0,0.85,0.5243337570308941,436.94,0.0581009809263197,0.9509967028623038,0.5889281491122078,0.36206855375009594,0,8.501109143128568e-06,0,0,8,17.27
medium,21874,cold_no_entropy,5,0,0.86,-0.489726170090558,408.11,0.0677532113851167,0.6557354909830424,0.9831001254943972,-0.3273646345113548,0,2.0844342106828025e-07,0,0,8,16.98
medium,21874,seed_sweep,0,1,0.86,-0.49223283412349345,410.19,0.06608322989351298,0.69792630344468,0.9802042776790234,-0.2822779742343434,0,7.688625627592352e-06,0,0,8,13.24
medium,21874,seed_sweep,2,1,0.86,0.5097186020976401,424.77,0.06625891767227042,0.9848142544783152,0.6154972927900886,0.3693169616882266,0,4.3063369512692666e-07,0,0,8,15.23
medium,21874,seed_sweep,5,1,0.86,-0.5209030969658474,434.09,0.06407883100925765,0.5886127369960272,0.984023186899389,-0.3954104499033617,1,2.6391844877815055e-13,0,0,8,15.27
medium,21874,seed_sweep,8,1,0.86,-0.36535694900866034,304.46,0.10480642020752962,0.9874969708371423,0.9823957234829356,0.005101247354206695,0,0.1303944696181337,4538,294,8,32.88
medium,21874,seed_sweep,12,1,0.86,0.016694537506168568,13.91,0.2016527680213387,0.9945112308097984,0.968273211542316,0.02623801926748237,0,0.0336171432313626,8828,3236,8,39.56
