s_from_te,ds_wake_l05,ds_wake_l10,ds_wake_l20
7.843941,4.479321e-03,4.476610e-03,4.516019e-03
7.873924,4.479321e-03,4.476585e-03,4.515388e-03
7.903906,4.479321e-03,4.476561e-03,4.514767e-03
7.933888,4.479321e-03,4.476537e-03,4.514155e-03
7.963870,4.479321e-03,4.476515e-03,4.513553e-03
7.993853,4.479321e-03,4.476493e-03,4.512959e-03
8.023835,4.479321e-03,4.476471e-03,4.512374e-03
8.053817,4.479321e-03,4.476451e-03,4.511798e-03
8.083799,4.479321e-03,4.476430e-03,4.511231e-03
8.113782,4.479321e-03,4.476411e-03,4.510671e-03
8.143764,4.479321e-03,4.476392e-03,4.510121e-03
8.173746,4.479321e-03,4.476374e-03,4.509578e-03
8.203728,4.479321e-03,4.476356e-03,4.509043e-03
8.233711,4.479321e-03,4.476338e-03,4.508517e-03
8.263693,4.479321e-03,4.476322e-03,4.507998e-03
8.293675,4.479321e-03,4.476305e-03,4.507487e-03
8.323657,4.479321e-03,4.476290e-03,4.506984e-03
8.353640,4.479321e-03,4.476274e-03,4.506488e-03
8.383622,4.479321e-03,4.476259e-03,4.505999e-03
8.413604,4.479321e-03,4.476245e-03,4.505518e-03
8.443586,4.479321e-03,4.476231e-03,4.505044e-03
8.473569,4.479321e-03,4.476217e-03,4.504577e-03
8.503551,4.479321e-03,4.476204e-03,4.504116e-03
8.533533,4.479321e-03,4.476191e-03,4.503663e-03
8.563515,4.479321e-03,4.476179e-03,4.503217e-03
8.593498,4.479321e-03,4.476167e-03,4.502777e-03
8.623480,4.479321e-03,4.476155e-03,4.502343e-03
8.653462,4.479321e-03,4.476143e-03,4.501916e-03
8.683444,4.479321e-03,4.476132e-03,4.501496e-03
8.713427,4.479321e-03,4.476122e-03,4.501082e-03
8.743409,4.479321e-03,4.476111e-03,4.500673e-03
8.773391,4.479321e-03,4.476101e-03,4.500271e-03
8.803373,4.479321e-03,4.476091e-03,4.499875e-03
8.833355,4.479321e-03,4.476082e-03,4.499485e-03
8.863338,4.479321e-03,4.476073e-03,4.499101e-03
8.893320,4.479321e-03,4.476064e-03,4.498722e-03
8.923302,4.479321e-03,4.476055e-03,4.498349e-03
8.953284,4.479321e-03,4.476047e-03,4.497982e-03
8.983267,4.479321e-03,4.476038e-03,4.497620e-03
9.013249,4.479321e-03,4.476030e-03,4.497263e-03
9.043231,4.479321e-03,4.476023e-03,4.496912e-03
9.073213,4.479321e-03,4.476015e-03,4.496566e-03
9.103196,4.479321e-03,4.476008e-03,4.496225e-03
9.133178,4.479321e-03,4.476001e-03,4.495889e-03
9.163160,4.479321e-03,4.475994e-03,4.495558e-03
9.193142,4.479321e-03,4.475988e-03,4.495232e-03
9.223125,4.479321e-03,4.475981e-03,4.494911e-03
9.253107,4.479321e-03,4.475975e-03,4.494595e-03
9.283089,4.479321e-03,4.475969e-03,4.494283e-03
9.313071,4.479321e-03,4.475963e-03,4.493976e-03
9.343054,4.479321e-03,4.475957e-03,4.493674e-03
9.373036,4.479321e-03,4.475952e-03,4.493376e-03
9.403018,4.479321e-03,4.475946e-03,4.493082e-03
9.433000,4.479321e-03,4.475941e-03,4.492793e-03
9.462983,4.479321e-03,4.475936e-03,4.492508e-03
9.492965,4.479321e-03,4.475931e-03,4.492228e-03
9.522947,4.479321e-03,4.475926e-03,4.491951e-03
9.552929,4.479321e-03,4.475922e-03,4.491679e-03
9.582912,4.479321e-03,4.475917e-03,4.491411e-03
9.612894,4.479321e-03,4.475913e-03,4.491147e-03
9.642876,4.479321e-03,4.475909e-03,4.490886e-03
9.672858,4.479321e-03,4.475905e-03,4.490630e-03
9.702841,4.479321e-03,4.475901e-03,4.490377e-03
9.732823,4.479321e-03,4.475897e-03,4.490128e-03
9.762805,4.479321e-03,4.475893e-03,4.489883e-03
9.792787,4.479321e-03,4.475889e-03,4.489642e-03
9.822770,4.479321e-03,4.475886e-03,4.489404e-03
9.852752,4.479321e-03,4.475882e-03,4.489170e-03
9.882734,4.479321e-03,4.475879e-03,4.488939e-03
9.912716,4.479321e-03,4.475876e-03,4.488711e-03
9.942699,4.479321e-03,4.475873e-03,4.488487e-03
9.972681,4.479321e-03,4.475870e-03,4.488266e-03
10.002663,4.479321e-03,4.475867e-03,4.488049e-03
10.032645,4.479321e-03,4.475864e-03,4.487835e-03
10.062628,4.479321e-03,4.475861e-03,4.487624e-03
10.092610,4.479321e-03,4.475858e-03,4.487416e-03
10.122592,4.479321e-03,4.475856e-03,4.487211e-03
10.152574,4.479321e-03,4.475853e-03,4.487009e-03
10.182557,4.479321e-03,4.475851e-03,4.486811e-03
10.212539,4.479321e-03,4.475848e-03,4.486615e-03
10.242521,4.479321e-03,4.475846e-03,4.486422e-03
10.272503,4.479321e-03,4.475844e-03,4.486232e-03
10.302486,4.479321e-03,4.475841e-03,4.486045e-03
10.332468,4.479321e-03,4.475839e-03,4.485860e-03
10.362450,4.479321e-03,4.475837e-03,4.485679e-03
