x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.333217,lower,1.032947e-03,9.188290e-04,+0.1242,4.052723e-03,3.998259e-03,+0.0136,3.382132e-03,-0.1541,banded
0.343214,lower,1.061445e-03,9.479819e-04,+0.1197,4.000704e-03,3.960468e-03,+0.0102,3.346240e-03,-0.1551,banded
0.353210,lower,1.089340e-03,9.770807e-04,+0.1149,3.952675e-03,3.922747e-03,+0.0076,3.313840e-03,-0.1552,banded
0.363205,lower,1.116888e-03,1.006126e-03,+0.1101,3.907758e-03,3.885693e-03,+0.0057,3.284181e-03,-0.1548,banded
0.373199,lower,1.144131e-03,1.035122e-03,+0.1053,3.865683e-03,3.849851e-03,+0.0041,3.257032e-03,-0.1540,banded
0.383192,lower,1.171179e-03,1.064825e-03,+0.0999,3.825498e-03,3.814456e-03,+0.0029,3.231604e-03,-0.1528,banded
0.393184,lower,1.198224e-03,1.094795e-03,+0.0945,3.786719e-03,3.779948e-03,+0.0018,3.207577e-03,-0.1514,banded
0.403175,lower,1.225262e-03,1.123863e-03,+0.0902,3.749243e-03,3.746602e-03,+0.0007,3.184630e-03,-0.1500,banded
0.413165,lower,1.252358e-03,1.153637e-03,+0.0856,3.712398e-03,3.712557e-03,-0.0000,3.162374e-03,-0.1482,banded
0.423153,lower,1.279459e-03,1.184487e-03,+0.0802,3.676673e-03,3.680478e-03,-0.0010,3.141109e-03,-0.1465,banded
0.433140,lower,1.306605e-03,1.214295e-03,+0.0760,3.641728e-03,3.648541e-03,-0.0019,3.120434e-03,-0.1447,banded
0.443126,lower,1.333773e-03,1.244189e-03,+0.0720,3.607664e-03,3.616811e-03,-0.0025,3.100534e-03,-0.1427,banded
0.453111,lower,1.361048e-03,1.274806e-03,+0.0677,3.574251e-03,3.585987e-03,-0.0033,3.081206e-03,-0.1408,banded
0.463094,lower,1.388467e-03,1.304772e-03,+0.0641,3.541286e-03,3.555228e-03,-0.0039,3.062368e-03,-0.1386,banded
0.473076,lower,1.415802e-03,1.335502e-03,+0.0601,3.509730e-03,3.524826e-03,-0.0043,3.044647e-03,-0.1362,banded
0.483057,lower,1.443350e-03,1.366204e-03,+0.0565,3.477935e-03,3.495569e-03,-0.0050,3.026745e-03,-0.1341,banded
0.493036,lower,1.470897e-03,1.397304e-03,+0.0527,3.446544e-03,3.467027e-03,-0.0059,3.009211e-03,-0.1320,banded
0.503014,lower,1.498352e-03,1.428513e-03,+0.0489,3.415859e-03,3.438488e-03,-0.0066,2.992134e-03,-0.1298,banded
0.512990,lower,1.525933e-03,1.459700e-03,+0.0454,3.385818e-03,3.409970e-03,-0.0071,2.975594e-03,-0.1274,banded
0.522965,lower,1.553604e-03,1.490736e-03,+0.0422,3.356246e-03,3.382099e-03,-0.0076,2.959466e-03,-0.1250,banded
0.532939,lower,1.581398e-03,1.521955e-03,+0.0391,3.326921e-03,3.355371e-03,-0.0085,2.943612e-03,-0.1227,banded
0.542911,lower,1.609179e-03,1.553546e-03,+0.0358,3.298271e-03,3.328327e-03,-0.0090,2.928323e-03,-0.1202,banded
0.552882,lower,1.636872e-03,1.585903e-03,+0.0321,3.270352e-03,3.301723e-03,-0.0095,2.913520e-03,-0.1176,banded
0.562851,lower,1.664758e-03,1.617688e-03,+0.0291,3.242388e-03,3.275427e-03,-0.0101,2.898664e-03,-0.1150,banded
0.572819,lower,1.692761e-03,1.650106e-03,+0.0258,3.214613e-03,3.249140e-03,-0.0106,2.884043e-03,-0.1124,banded
0.582786,lower,1.720815e-03,1.682666e-03,+0.0227,3.187312e-03,3.223807e-03,-0.0113,2.869794e-03,-0.1098,banded
0.592751,lower,1.749045e-03,1.715218e-03,+0.0197,3.160001e-03,3.198605e-03,-0.0121,2.855553e-03,-0.1073,banded
0.602714,lower,1.777115e-03,1.747732e-03,+0.0168,3.133719e-03,3.172457e-03,-0.0122,2.842141e-03,-0.1041,banded
0.612677,lower,1.805320e-03,1.780313e-03,+0.0140,3.107372e-03,3.148265e-03,-0.0130,2.828641e-03,-0.1015,banded
0.622637,lower,1.833682e-03,1.813861e-03,+0.0109,3.081567e-03,3.123104e-03,-0.0133,2.815637e-03,-0.0984,banded
0.632597,lower,1.862199e-03,1.847379e-03,+0.0080,3.055594e-03,3.098134e-03,-0.0137,2.802467e-03,-0.0954,banded
0.642555,lower,1.890919e-03,1.880914e-03,+0.0053,3.029577e-03,3.073814e-03,-0.0144,2.789392e-03,-0.0925,banded
0.652511,lower,1.919648e-03,1.914680e-03,+0.0026,3.004304e-03,3.048950e-03,-0.0146,2.776896e-03,-0.0892,banded
0.662467,lower,1.948541e-03,1.949214e-03,-0.0003,2.978919e-03,3.024572e-03,-0.0151,2.764278e-03,-0.0861,banded
0.672420,lower,1.977792e-03,1.984085e-03,-0.0032,2.953164e-03,2.999825e-03,-0.0156,2.751488e-03,-0.0828,banded
0.682373,lower,2.007145e-03,2.019653e-03,-0.0062,2.928446e-03,2.975764e-03,-0.0159,2.739687e-03,-0.0793,banded
0.692324,lower,2.036732e-03,2.055192e-03,-0.0090,2.903188e-03,2.951276e-03,-0.0163,2.727417e-03,-0.0759,banded
0.702273,lower,2.066566e-03,2.091236e-03,-0.0118,2.877867e-03,2.926181e-03,-0.0165,2.715156e-03,-0.0721,banded
0.712221,lower,2.096842e-03,2.127828e-03,-0.0146,2.852025e-03,2.901627e-03,-0.0171,2.702484e-03,-0.0686,banded
0.722168,lower,2.127519e-03,2.164980e-03,-0.0173,2.825901e-03,2.876431e-03,-0.0176,2.689775e-03,-0.0649,banded
0.732113,lower,2.158437e-03,2.202588e-03,-0.0200,2.799855e-03,2.850942e-03,-0.0179,2.677196e-03,-0.0609,banded
0.742057,lower,2.189716e-03,2.240862e-03,-0.0228,2.773950e-03,2.825201e-03,-0.0181,2.664887e-03,-0.0567,banded
0.751999,lower,2.221526e-03,2.280220e-03,-0.0257,2.747529e-03,2.799092e-03,-0.0184,2.652262e-03,-0.0525,banded
0.761940,lower,2.254007e-03,2.320660e-03,-0.0287,2.720692e-03,2.772987e-03,-0.0189,2.639537e-03,-0.0481,banded
0.771879,lower,2.287057e-03,2.361377e-03,-0.0315,2.693245e-03,2.746082e-03,-0.0192,2.626403e-03,-0.0436,banded
0.781817,lower,2.320901e-03,2.403822e-03,-0.0345,2.664979e-03,2.718068e-03,-0.0195,2.612805e-03,-0.0387,banded
0.791753,lower,2.355612e-03,2.446622e-03,-0.0372,2.636175e-03,2.689883e-03,-0.0200,2.598948e-03,-0.0338,banded
0.801688,lower,2.391458e-03,2.491323e-03,-0.0401,2.606111e-03,2.660743e-03,-0.0205,2.584341e-03,-0.0287,banded
0.811621,lower,2.427935e-03,2.537219e-03,-0.0431,2.575858e-03,2.631497e-03,-0.0211,2.569919e-03,-0.0234,banded
0.821553,lower,2.465671e-03,2.585249e-03,-0.0463,2.545103e-03,2.600176e-03,-0.0212,2.555354e-03,-0.0172,banded
0.831483,lower,2.504970e-03,2.634469e-03,-0.0492,2.512416e-03,2.567735e-03,-0.0215,2.539450e-03,-0.0110,banded
0.841411,lower,2.545889e-03,2.686032e-03,-0.0522,2.478324e-03,2.534056e-03,-0.0220,2.522787e-03,-0.0044,banded
0.851337,lower,2.589161e-03,2.740738e-03,-0.0553,2.442731e-03,2.498336e-03,-0.0223,2.505389e-03,+0.0028,banded
0.861262,lower,2.634943e-03,2.797797e-03,-0.0582,2.404944e-03,2.461342e-03,-0.0229,2.486546e-03,+0.0102,banded
0.871185,lower,2.682879e-03,2.858492e-03,-0.0614,2.364824e-03,2.422095e-03,-0.0236,2.466201e-03,+0.0182,banded
0.881106,lower,2.734523e-03,2.923344e-03,-0.0646,2.321747e-03,2.380608e-03,-0.0247,2.443891e-03,+0.0266,banded
0.891026,lower,2.791634e-03,2.992686e-03,-0.0672,2.275893e-03,2.336130e-03,-0.0258,2.419910e-03,+0.0359,banded
0.900943,lower,2.853157e-03,3.068049e-03,-0.0700,2.225117e-03,2.287915e-03,-0.0274,2.392345e-03,+0.0456,banded
0.910858,lower,2.921605e-03,3.149584e-03,-0.0724,2.168906e-03,2.236336e-03,-0.0302,2.360861e-03,+0.0557,banded
