leg,nx,C,x,flux_over_mdot
regular,80,2.0,1.025,1.0663
regular,80,2.0,1.075,1.0663
regular,80,2.0,1.125,1.0663
regular,80,2.0,1.175,1.0663
regular,80,2.0,1.225,1.0663
regular,80,2.0,1.275,1.0663
regular,80,2.0,1.325,1.0663
regular,80,2.0,1.375,1.0663
regular,80,2.0,1.425,1.0663
regular,80,2.0,1.475,1.0663
regular,80,2.0,1.525,1.0663
regular,80,2.0,1.575,1.0663
regular,80,2.0,1.625,1.0663
regular,80,2.0,1.675,1.0663
regular,80,2.0,1.725,1.0663
regular,80,2.0,1.775,1.0663
regular,80,2.0,1.825,1.0663
regular,80,2.0,1.875,1.0663
regular,80,2.0,1.925,1.0663
regular,80,2.0,1.975,1.0663
regular,80,2.0,2.025,1.0663
regular,80,2.0,2.075,1.0663
regular,80,2.0,2.125,1.0663
regular,80,2.0,2.175,1.0663
regular,80,2.0,2.225,1.0663
regular,80,2.0,2.275,1.0663
regular,80,2.0,2.325,1.0663
regular,80,2.0,2.375,1.0663
regular,80,2.0,2.425,1.0663
regular,80,2.0,2.475,1.0663
regular,80,2.0,2.525,1.0663
regular,80,2.0,2.575,1.0663
regular,80,2.0,2.625,1.0663
regular,80,2.0,2.675,1.0663
regular,80,2.0,2.725,1.0663
regular,80,2.0,2.775,1.0663
regular,80,2.0,2.825,1.0663
regular,80,2.0,2.875,1.0663
regular,80,2.0,2.925,1.0663
regular,80,2.0,2.975,1.0663
regular,80,2.0,3.025,1.0663
regular,80,2.0,3.075,1.0663
regular,80,2.0,3.125,1.0663
regular,80,2.0,3.175,1.0663
regular,80,2.0,3.225,1.0663
regular,80,2.0,3.275,1.0663
regular,80,2.0,3.325,1.0663
regular,80,2.0,3.375,1.0663
regular,80,2.0,3.425,1.0663
regular,80,2.0,3.475,1.0663
regular,80,2.0,3.525,1.0663
regular,80,2.0,3.575,1.0663
regular,80,2.0,3.625,1.0663
regular,80,2.0,3.675,1.0663
regular,80,2.0,3.725,1.0663
regular,80,2.0,3.775,1.0663
regular,80,2.0,3.825,1.0663
regular,80,2.0,3.875,1.0663
regular,80,2.0,3.925,1.0663
regular,80,2.0,3.975,1.0663
regular,80,3.0,0.025,1.0663
regular,80,3.0,0.075,1.0663
regular,80,3.0,0.125,1.0663
regular,80,3.0,0.175,1.0663
regular,80,3.0,0.225,1.0663
regular,80,3.0,0.275,1.0663
regular,80,3.0,0.325,1.0663
regular,80,3.0,0.375,1.0663
regular,80,3.0,0.425,1.0663
regular,80,3.0,0.475,1.0663
regular,80,3.0,0.525,1.0663
regular,80,3.0,0.575,1.0663
regular,80,3.0,0.625,1.0663
regular,80,3.0,0.675,1.0663
regular,80,3.0,0.725,1.0663
regular,80,3.0,0.775,1.0663
regular,80,3.0,0.825,1.0663
regular,80,3.0,0.875,1.0663
regular,80,3.0,0.925,1.0663
regular,80,3.0,0.975,1.0663
regular,80,3.0,1.025,1.0663
regular,80,3.0,1.075,1.0663
regular,80,3.0,1.125,1.0663
regular,80,3.0,1.175,1.0663
regular,80,3.0,1.225,1.0663
regular,80,3.0,1.275,1.0663
regular,80,3.0,1.325,1.0663
regular,80,3.0,1.375,1.0663
regular,80,3.0,1.425,1.0663
regular,80,3.0,1.475,1.0663
regular,80,3.0,1.525,1.0663
regular,80,3.0,1.575,1.0663
regular,80,3.0,1.625,1.0663
regular,80,3.0,1.675,1.0663
regular,80,3.0,1.725,1.0663
regular,80,3.0,1.775,1.0663
regular,80,3.0,1.825,1.0663
regular,80,3.0,1.875,1.0663
regular,80,3.0,1.925,1.0663
regular,80,3.0,1.975,1.0663
regular,80,3.0,2.025,1.0663
regular,80,3.0,2.075,1.0663
regular,80,3.0,2.125,1.0663
regular,80,3.0,2.175,1.0663
regular,80,3.0,2.225,1.0663
regular,80,3.0,2.275,1.0663
regular,80,3.0,2.325,1.0663
regular,80,3.0,2.375,1.0663
regular,80,3.0,2.425,1.0663
regular,80,3.0,2.475,1.0663
regular,80,3.0,2.525,1.0663
regular,80,3.0,2.575,1.0663
regular,80,3.0,2.625,1.0663
regular,80,3.0,2.675,1.0663
regular,80,3.0,2.725,1.0663
regular,80,3.0,2.775,1.0663
regular,80,3.0,2.825,1.0663
regular,80,3.0,2.875,1.0663
regular,80,3.0,2.925,1.0663
regular,80,3.0,2.975,1.0663
regular,80,3.0,3.025,1.0663
regular,80,3.0,3.075,1.0663
regular,80,3.0,3.125,1.0663
regular,80,3.0,3.175,1.0663
regular,80,3.0,3.225,1.0663
regular,80,3.0,3.275,1.0663
regular,80,3.0,3.325,1.0663
regular,80,3.0,3.375,1.0663
regular,80,3.0,3.425,1.0663
regular,80,3.0,3.475,1.0663
regular,80,3.0,3.525,1.0663
regular,80,3.0,3.575,1.0663
regular,80,3.0,3.625,1.0663
regular,80,3.0,3.675,1.0663
regular,80,3.0,3.725,1.0663
regular,80,3.0,3.775,1.0663
regular,80,3.0,3.825,1.0663
regular,80,3.0,3.875,1.0663
regular,80,3.0,3.925,1.0663
regular,80,3.0,3.975,1.0663
regular,160,1.0,0.0125,1.052818
regular,160,1.0,0.0375,1.052818
regular,160,1.0,0.0625,1.052818
regular,160,1.0,0.0875,1.052818
regular,160,1.0,0.1125,1.052818
regular,160,1.0,0.1375,1.052818
regular,160,1.0,0.1625,1.052818
regular,160,1.0,0.1875,1.052818
regular,160,1.0,0.2125,1.052818
regular,160,1.0,0.2375,1.052818
regular,160,1.0,0.2625,1.052818
regular,160,1.0,0.2875,1.052818
regular,160,1.0,0.3125,1.052818
regular,160,1.0,0.3375,1.052818
regular,160,1.0,0.3625,1.052818
regular,160,1.0,0.3875,1.052818
regular,160,1.0,0.4125,1.052818
regular,160,1.0,0.4375,1.052818
regular,160,1.0,0.4625,1.052818
regular,160,1.0,0.4875,1.052818
regular,160,1.0,0.5125,1.052818
regular,160,1.0,0.5375,1.052818
regular,160,1.0,0.5625,1.052818
regular,160,1.0,0.5875,1.052818
regular,160,1.0,0.6125,1.052818
regular,160,1.0,0.6375,1.052818
regular,160,1.0,0.6625,1.052818
regular,160,1.0,0.6875,1.052818
regular,160,1.0,0.7125,1.052818
regular,160,1.0,0.7375,1.052818
regular,160,1.0,0.7625,1.052818
regular,160,1.0,0.7875,1.052818
regular,160,1.0,0.8125,1.052818
regular,160,1.0,0.8375,1.052818
regular,160,1.0,0.8625,1.052818
regular,160,1.0,0.8875,1.052818
regular,160,1.0,0.9125,1.052818
regular,160,1.0,0.9375,1.052818
regular,160,1.0,0.9625,1.052818
regular,160,1.0,0.9875,1.052818
regular,160,1.0,1.0125,1.052818
regular,160,1.0,1.0375,1.052818
regular,160,1.0,1.0625,1.052818
regular,160,1.0,1.0875,1.052818
