state,arm,eta,x_percell,x_subcell
WB M0.78,S1,0.96,0.19384885639882687,0.19398125348987147
WB M0.78,S1,0.99,0.9812463801052841,0.9812484210135326
WB M0.78,S2,0.44,0.22214393737556773,0.22214606851593893
WB M0.78,S2,0.65,0.3042361519191273,0.30461619814039265
WB M0.78,S2,0.8,0.27854450194192404,0.27863325835928393
WB M0.78,S2,0.9,0.24021838654698008,0.24024546807691743
WB M0.78,S2,0.96,0.19384885639882687,0.1939581885060849
WB M0.78,S2,0.99,0.16727412161795377,0.1672896890719708
WB M0.78,S3,0.44,0.21169664984988287,0.21192513017784223
WB M0.78,S3,0.65,0.3042361519191273,0.3044171070778259
WB M0.78,S3,0.8,0.27854450194192404,0.27858938323747723
WB M0.78,S3,0.9,0.24021838654698008,0.24022630856046143
WB M0.78,S3,0.96,0.19384885639882687,0.19391906481605659
WB M0.78,S3,0.99,0.16010898915994573,0.16035822672270858
WB M0.82,P0,0.2,0.5628087318382389,0.5629099813061977
WB M0.82,P0,0.44,0.5585159828013601,0.5585194421122968
WB M0.82,P0,0.65,0.5263861506274333,0.5285502974000388
WB M0.82,P0,0.8,0.4725165068554383,0.4728130204593426
WB M0.82,P0,0.9,0.35514640085490173,0.35532956028959006
WB M0.82,P0,0.96,0.9955844850238539,0.9980550151630008
WB M0.82,P0,0.99,0.9836567223397592,0.9836593054754356
WB M0.82,P1,0.2,0.5597411472934546,0.5605559489328462
WB M0.82,P1,0.44,0.5459444635274975,0.5469740487867307
WB M0.82,P1,0.65,0.5117012589384583,0.5119511930501511
WB M0.82,P1,0.8,0.45979022071600034,0.4609747988210193
WB M0.82,P1,0.9,0.35514640085490173,0.3551603009256679
WB M0.82,P1,0.96,0.27532877108121034,0.2753706613900062
WB M0.82,P1,0.99,0.9812463801052841,0.9812480554876022
WB M0.82,P2,0.2,0.5451204518055484,0.5453867115350516
WB M0.82,P2,0.44,0.5402178898283126,0.5403471991135091
WB M0.82,P2,0.65,0.49452512023369183,0.49498860978670195
WB M0.82,P2,0.8,0.45979022071600034,0.460466591022918
WB M0.82,P2,0.9,0.3414687127499036,0.3436578462666943
WB M0.82,P2,0.96,0.27532877108121034,0.27569072265616157
WB M0.82,P2,0.99,0.973124759021366,0.9731356571488069
WB M0.82,P3,0.2,0.531577035651087,0.5332744447091265
WB M0.82,P3,0.44,0.5402178898283126,0.5402247038863197
WB M0.82,P3,0.65,0.5017575271292872,0.5018447223718945
WB M0.82,P3,0.8,0.44318195867102855,0.44325330966198684
WB M0.82,P3,0.9,0.3414687127499036,0.34471264504931576
WB M0.82,P3,0.96,0.28722610715796826,0.2913580216477497
WB M0.82,P3,0.99,0.25117171490070267,0.25123410851945266
WB M0.82,S1,0.2,0.5597411472934546,0.560893650990606
WB M0.82,S1,0.44,0.5459444635274975,0.5465262519551525
WB M0.82,S1,0.65,0.5017575271292872,0.5019608905890794
WB M0.82,S1,0.8,0.4623894635352916,0.46240604329151136
WB M0.82,S1,0.9,0.35514640085490173,0.3552428816072869
WB M0.82,S1,0.96,0.28722610715796826,0.28797534488545495
WB M0.82,S1,0.99,0.9812463801052841,0.9812498364005471
WB M0.82,S2,0.2,0.5597411472934546,0.5599148379172852
WB M0.82,S2,0.44,0.5402178898283126,0.5403478486610415
WB M0.82,S2,0.65,0.5017575271292872,0.5017680270864605
WB M0.82,S2,0.8,0.45979022071600034,0.4604807805177689
WB M0.82,S2,0.9,0.3414687127499036,0.3453055741990118
WB M0.82,S2,0.96,0.27532877108121034,0.2754325778668265
WB M0.82,S2,0.99,0.9812463801052841,0.9812479114259078
WB M0.82,S3,0.2,0.5451204518055484,0.5451204682986838
WB M0.82,S3,0.44,0.5402178898283126,0.54028723298685
WB M0.82,S3,0.65,0.49452512023369183,0.4949003448138494
WB M0.82,S3,0.8,0.45979022071600034,0.4600734995441659
WB M0.82,S3,0.9,0.3414687127499036,0.34429179758811657
WB M0.82,S3,0.96,0.27532877108121034,0.2755103114491644
WB M0.82,S3,0.99,0.977684719780806,0.9777502666523348
WB M0.86,P0,0.2,0.7347950166163132,0.7360536735568733
WB M0.86,P0,0.44,0.6748108031169427,0.6763569272540768
WB M0.86,P0,0.65,0.6310894004475307,0.6319152621884191
WB M0.86,P0,0.8,0.5731024054777184,0.5739265141883262
WB M0.86,P0,0.9,0.49632512906898485,0.49642271084086953
WB M0.86,P0,0.96,0.9988092571372407,0.9988888326083517
WB M0.86,P0,0.99,0.9870995773858117,0.9871440292406194
WB M0.86,P1,0.2,0.7290824691384524,0.7305661044420153
WB M0.86,P1,0.44,0.6777403348681909,0.6780034629919945
WB M0.86,P1,0.65,0.6310894004475307,0.6325077606090332
WB M0.86,P1,0.8,0.5677256124105129,0.5678663971648381
WB M0.86,P1,0.9,0.49331122985745196,0.49535281629015177
WB M0.86,P1,0.96,0.4732326850887026,0.47329188843811415
WB M0.86,P1,0.99,0.9812500423284309,0.9812724309835812
WB M0.86,P2,0.2,0.7274234350563028,0.7274295460423019
