node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
17,0.682373,1,turbulent,mid,-3.696336e-07,-7.774671e-10,-6.869417e-07,2.582594e-08,-1.717758e-09,-7.563312e-21,6.869417e-07
18,0.662467,1,turbulent,mid,-3.554991e-07,6.152423e-09,-6.648740e-07,3.426648e-08,-1.300946e-09,-9.172354e-21,6.648740e-07
19,0.642556,1,turbulent,mid,-3.469549e-07,9.983966e-09,-6.520731e-07,3.719615e-08,-9.174892e-10,-1.121039e-20,6.520731e-07
20,0.622638,1,turbulent,mid,-3.399917e-07,1.172872e-08,-6.415065e-07,3.827222e-08,-5.461092e-10,-1.369078e-20,6.415065e-07
21,0.602715,1,turbulent,mid,-3.337598e-07,3.730158e-09,-6.321385e-07,2.687096e-08,-1.542755e-10,-1.671384e-20,6.321385e-07
22,0.582786,1,turbulent,mid,-3.266564e-07,-3.616832e-09,-6.211901e-07,1.924322e-08,2.304128e-10,-2.021022e-20,6.211901e-07
23,0.562852,1,turbulent,mid,-3.187295e-07,-2.843265e-09,-6.078193e-07,2.102357e-08,6.278897e-10,-2.424617e-20,6.078193e-07
24,0.542912,1,turbulent,mid,-3.124851e-07,3.480355e-09,-5.972482e-07,2.948105e-08,1.003960e-09,-2.884017e-20,5.972482e-07
25,0.522966,1,turbulent,mid,-3.091088e-07,5.925605e-09,-5.918732e-07,3.089785e-08,1.388977e-09,-3.451393e-20,5.918732e-07
26,0.503015,1,turbulent,mid,-3.048086e-07,4.589858e-09,-5.848418e-07,2.897321e-08,1.784543e-09,-4.068949e-20,5.848418e-07
27,0.483058,1,turbulent,mid,-3.011425e-07,1.976320e-09,-5.787953e-07,2.537548e-08,2.187662e-09,-4.649001e-20,5.787953e-07
28,0.463095,1,turbulent,mid,-2.966227e-07,6.656970e-10,-5.712128e-07,2.412030e-08,2.604163e-09,-5.145151e-20,5.712128e-07
29,0.443127,1,turbulent,mid,-2.926446e-07,1.293916e-09,-5.646338e-07,2.491133e-08,3.024264e-09,-5.396754e-20,5.646338e-07
30,0.423154,1,turbulent,mid,-2.876762e-07,1.121131e-09,-5.563445e-07,2.527088e-08,3.458841e-09,-4.973204e-20,5.563445e-07
31,0.403176,1,turbulent,mid,-2.834150e-07,3.645078e-09,-5.495828e-07,2.882177e-08,3.883651e-09,-3.430832e-20,5.495828e-07
32,0.383193,1,turbulent,mid,-2.810121e-07,2.257161e-09,-5.469952e-07,2.597323e-08,4.318869e-09,-1.344666e-21,5.469952e-07
33,0.363206,1,turbulent,mid,-2.797436e-07,-2.472594e-09,-5.472271e-07,2.027180e-08,4.747656e-09,7.086286e-20,5.472271e-07
34,0.343215,1,turbulent,mid,-2.808136e-07,-7.822983e-09,-5.528679e-07,1.417085e-08,5.161043e-09,2.132683e-19,5.528679e-07
35,0.323222,1,turbulent,mid,-2.847216e-07,-1.627862e-08,-5.656895e-07,5.387456e-09,5.566027e-09,4.721499e-19,5.656895e-07
36,0.303227,1,turbulent,mid,-2.938190e-07,-3.470307e-08,-5.913735e-07,-1.423939e-08,5.925835e-09,9.471021e-19,5.913735e-07
37,0.283231,1,turbulent,mid,-3.014160e-07,-8.553288e-08,-6.185099e-07,-6.923929e-08,6.236154e-09,1.847053e-18,6.185099e-07
38,0.263237,1,turbulent,mid,-2.766588e-07,-1.964541e-07,-5.852144e-07,-1.931886e-07,6.521542e-09,3.570410e-18,5.852144e-07
39,0.243247,1,turbulent,mid,-2.530806e-07,-4.866082e-07,-5.486327e-07,-5.355503e-07,6.892436e-09,6.230055e-18,5.486327e-07
