x,phi_minus,phi_plus,jump
13.884819,13.58504735,13.88504735,3.000e-01
13.884819,13.58504736,13.88504736,3.000e-01
13.944641,13.64485956,13.94485956,3.000e-01
13.944641,13.64485957,13.94485957,3.000e-01
14.004462,13.70467188,14.00467188,3.000e-01
14.004462,13.70467187,14.00467187,3.000e-01
14.064284,13.76448422,14.06448422,3.000e-01
14.064284,13.76448422,14.06448422,3.000e-01
14.124105,13.82429667,14.12429667,3.000e-01
14.124105,13.82429669,14.12429669,3.000e-01
14.183927,13.88410923,14.18410923,3.000e-01
14.183927,13.88410923,14.18410923,3.000e-01
14.243748,13.94392179,14.24392179,3.000e-01
14.243748,13.94392179,14.24392179,3.000e-01
14.303570,14.00373445,14.30373445,3.000e-01
14.303570,14.00373443,14.30373443,3.000e-01
14.363391,14.06354719,14.36354719,3.000e-01
14.363391,14.06354720,14.36354720,3.000e-01
14.423213,14.12336005,14.42336005,3.000e-01
14.423213,14.12336004,14.42336004,3.000e-01
14.483034,14.18317301,14.48317301,3.000e-01
14.483034,14.18317302,14.48317302,3.000e-01
14.542856,14.24298615,14.54298615,3.000e-01
14.542856,14.24298615,14.54298615,3.000e-01
14.602677,14.30279935,14.60279935,3.000e-01
14.602677,14.30279933,14.60279933,3.000e-01
14.662499,14.36261270,14.66261270,3.000e-01
14.662499,14.36261268,14.66261268,3.000e-01
14.722320,14.42242598,14.72242598,3.000e-01
14.722320,14.42242600,14.72242600,3.000e-01
14.782142,14.48223933,14.78223933,3.000e-01
14.782142,14.48223931,14.78223931,3.000e-01
14.841963,14.54205267,14.84205267,3.000e-01
14.841963,14.54205269,14.84205269,3.000e-01
14.901785,14.60186607,14.90186607,3.000e-01
14.901785,14.60186608,14.90186608,3.000e-01
14.961606,14.66167950,14.96167950,3.000e-01
14.961606,14.66167950,14.96167950,3.000e-01
15.021428,14.72149293,15.02149293,3.000e-01
15.021428,14.72149293,15.02149293,3.000e-01
15.081249,14.78130635,15.08130635,3.000e-01
15.081249,14.78130635,15.08130635,3.000e-01
