x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.483058,lower,1.459508e-03,1.366207e-03,+0.0683,3.642938e-03,3.495566e-03,+0.0422,3.172607e-03,-0.0924,banded
0.503015,lower,1.513990e-03,1.428516e-03,+0.0598,3.581295e-03,3.438486e-03,+0.0415,3.139152e-03,-0.0871,banded
0.522966,lower,1.568392e-03,1.490738e-03,+0.0521,3.522779e-03,3.382097e-03,+0.0416,3.108389e-03,-0.0809,banded
0.542912,lower,1.622736e-03,1.553548e-03,+0.0445,3.465124e-03,3.328325e-03,+0.0411,3.078119e-03,-0.0752,banded
0.562852,lower,1.677053e-03,1.617690e-03,+0.0367,3.410107e-03,3.275425e-03,+0.0411,3.050133e-03,-0.0688,banded
0.582786,lower,1.731402e-03,1.682669e-03,+0.0290,3.356826e-03,3.223805e-03,+0.0413,3.023277e-03,-0.0622,banded
0.602715,lower,1.786066e-03,1.747735e-03,+0.0219,3.303979e-03,3.172455e-03,+0.0415,2.996981e-03,-0.0553,banded
0.622638,lower,1.840994e-03,1.813863e-03,+0.0150,3.252678e-03,3.123102e-03,+0.0415,2.971924e-03,-0.0484,banded
0.642556,lower,1.896338e-03,1.880917e-03,+0.0082,3.200962e-03,3.073813e-03,+0.0414,2.946670e-03,-0.0414,banded
0.662467,lower,1.952231e-03,1.949216e-03,+0.0015,3.150335e-03,3.024570e-03,+0.0416,2.922661e-03,-0.0337,banded
0.682373,lower,2.008431e-03,2.019655e-03,-0.0056,3.100777e-03,2.975763e-03,+0.0420,2.899531e-03,-0.0256,banded
0.702274,lower,2.065473e-03,2.091238e-03,-0.0123,3.049385e-03,2.926180e-03,+0.0421,2.875132e-03,-0.0174,banded
0.722168,lower,2.123512e-03,2.164982e-03,-0.0192,2.999068e-03,2.876429e-03,+0.0426,2.852080e-03,-0.0085,banded
0.742057,lower,2.182276e-03,2.240864e-03,-0.0261,2.946786e-03,2.825200e-03,+0.0430,2.827650e-03,+0.0009,banded
0.761940,lower,2.243003e-03,2.320662e-03,-0.0335,2.893659e-03,2.772986e-03,+0.0435,2.803446e-03,+0.0110,banded
0.781818,lower,2.306567e-03,2.403824e-03,-0.0405,2.838885e-03,2.718067e-03,+0.0444,2.778763e-03,+0.0223,banded
0.801688,lower,2.371451e-03,2.491325e-03,-0.0481,2.780501e-03,2.660742e-03,+0.0450,2.752081e-03,+0.0343,banded
0.821553,lower,2.439232e-03,2.585251e-03,-0.0565,2.719097e-03,2.600175e-03,+0.0457,2.723990e-03,+0.0476,banded
0.841411,lower,2.514118e-03,2.686033e-03,-0.0640,2.655055e-03,2.534055e-03,+0.0477,2.695616e-03,+0.0638,banded
0.861262,lower,2.593896e-03,2.797799e-03,-0.0729,2.583455e-03,2.461341e-03,+0.0496,2.663026e-03,+0.0819,banded
0.881106,lower,2.681121e-03,2.923345e-03,-0.0829,2.496543e-03,2.380607e-03,+0.0487,2.619549e-03,+0.1004,banded
0.900943,lower,2.786066e-03,3.068051e-03,-0.0919,2.414928e-03,2.287914e-03,+0.0555,2.586292e-03,+0.1304,banded
0.920772,lower,2.913549e-03,3.240115e-03,-0.1008,2.346680e-03,2.180413e-03,+0.0763,2.570845e-03,+0.1791,banded
0.940593,lower,3.170104e-03,3.455717e-03,-0.0826,2.089979e-03,2.050131e-03,+0.0194,2.352617e-03,+0.1475,banded
0.960405,lower,3.413719e-03,3.740175e-03,-0.0873,1.914627e-03,1.888022e-03,+0.0141,2.280358e-03,+0.2078,te
0.980207,lower,3.560236e-03,4.159094e-03,-0.1440,1.723028e-03,1.673966e-03,+0.0293,2.084963e-03,+0.2455,te
1.000000,lower,3.736825e-03,4.775000e-03,-0.2174,1.684674e-03,1.409000e-03,+0.1957,2.157446e-03,+0.5312,te
