x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
0.987114,0.000000,0.641390,1.0000,0.5361,-1,2.485973e-03,4.030388e-03,1.6178,1.209814e+01,-7.088225e-02,2.111606e-03,4.053011e-12,1.342062e-03,0,0
0.989148,0.000000,0.648596,1.0000,0.5422,-1,2.367069e-03,3.850894e-03,1.6109,1.168504e+01,-1.811359e-01,2.177764e-03,3.119059e-12,1.375271e-03,0,0
0.991181,0.000000,0.655803,1.0000,0.5482,-1,2.457051e-03,4.011162e-03,1.6356,1.418397e+01,-3.330859e-01,2.140218e-03,-1.426617e-11,1.318975e-03,0,0
0.993215,0.000000,0.663010,1.0000,0.5542,-1,2.588650e-03,4.240723e-03,1.6454,1.638702e+01,-4.537733e-01,2.142813e-03,1.358829e-11,1.291511e-03,0,0
0.995249,0.000000,0.670216,1.0000,0.5602,-1,2.485977e-03,4.086765e-03,1.6298,1.294713e+01,-1.929555e-01,2.168557e-03,9.420532e-12,1.320666e-03,0,0
0.997283,0.000000,0.677423,1.0000,0.5663,-1,2.389954e-03,3.942695e-03,1.6041,1.599679e+01,-5.652554e-01,2.228592e-03,-1.280643e-11,1.408644e-03,0,0
0.999317,0.000000,0.684630,1.0000,0.5723,-1,2.571802e-03,4.257630e-03,1.6480,1.729394e+01,-5.759336e-01,2.248964e-03,-3.696159e-11,1.296332e-03,0,0
1.001350,0.000000,0.691836,1.0000,0.5783,-1,2.530024e-03,4.203265e-03,1.6416,1.112623e+01,1.486025e-02,2.228009e-03,3.190356e-11,1.284024e-03,0,0
1.003384,0.000000,0.699043,1.0000,0.5843,-1,2.461757e-03,4.104354e-03,1.6250,2.016599e+01,-1.008019e+00,2.231419e-03,1.141588e-10,1.393001e-03,0,0
1.005418,0.000000,0.706249,1.0000,0.5904,-1,2.610118e-03,4.367194e-03,1.6662,9.416991e+00,2.875420e-01,2.249409e-03,-2.016530e-10,1.221967e-03,0,0
1.007452,0.000000,0.713456,1.0000,0.5964,-1,2.448109e-03,4.110753e-03,1.6133,2.138528e+01,-1.119432e+00,2.234421e-03,-5.300211e-11,1.431204e-03,0,0
1.009486,0.000000,0.720663,1.0000,0.6024,-1,2.535574e-03,4.272881e-03,1.6403,1.993158e+01,-7.465943e-01,2.175248e-03,3.850206e-10,1.332870e-03,0,0
1.011519,0.000000,0.727869,1.0000,0.6084,-1,2.309563e-03,3.906014e-03,1.5931,1.530320e+01,-5.090311e-01,2.104368e-03,-3.304675e-11,1.440543e-03,0,0
1.013553,0.000000,0.735076,1.0000,0.6145,-1,2.344825e-03,3.979967e-03,1.6078,1.479490e+01,-4.966962e-01,2.091524e-03,-8.430041e-10,1.401488e-03,0,0
1.015587,0.000000,0.742283,1.0000,0.6205,-1,2.528640e-03,4.307514e-03,1.6446,6.502633e+00,4.845351e-01,2.093489e-03,5.063850e-10,1.276053e-03,0,0
1.017621,0.000000,0.749489,1.0000,0.6265,-1,2.295805e-03,3.925104e-03,1.5981,1.176610e+01,-1.811259e-01,2.174380e-03,1.793555e-09,1.413843e-03,0,0
