node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
185,0.8116211715918191,-8.821500896780706e-08,1.124164471492257e-08,-1.491621828220024e-07,1.9375651904655565e-08,1.3788878691232457e-10,-1.3081680452840924e-20,1.491621828220024e-07
186,0.821552679892781,-9.323367146500466e-08,1.1833630262742488e-08,-1.5657173536840388e-07,2.0514109788761077e-08,8.781481814624934e-11,-1.0758865613250724e-20,1.5657173536840388e-07
187,0.8314825550610474,-9.886333145418136e-08,1.1851222742021349e-08,-1.6479783823448338e-07,2.0901817709044632e-08,3.4738055500135935e-11,-8.853996540712069e-21,1.6479783823448338e-07
188,0.8414107631229872,-1.0599914832998798e-07,1.5402935452733427e-08,-1.7512878953002145e-07,2.4648478836929992e-08,-1.6285760581276416e-11,-7.294184764253763e-21,1.7512878953002145e-07
189,0.851337271807381,-1.137706935030802e-07,1.564713485901434e-08,-1.8633246056826485e-07,2.5498343480341374e-08,-8.688270585431836e-11,-6.016601858070182e-21,1.8633246056826485e-07
190,0.861262044028687,-1.2304552299836008e-07,1.807655124666622e-08,-1.996859571690259e-07,2.8272592108953286e-08,-1.6109136012355893e-10,-4.965038155532477e-21,1.996859571690259e-07
191,0.8711850447481982,-1.32855184941305e-07,1.6643113052631893e-08,-2.1344690137592474e-07,2.777781580304929e-08,-2.411555114489662e-10,-4.097974689658843e-21,2.1344690137592474e-07
192,0.8811062316526009,-1.450587466465321e-07,1.9235139072178756e-08,-2.3084158590655453e-07,3.067336795663239e-08,-3.356279002591174e-10,-3.393897894625524e-21,2.3084158590655453e-07
193,0.8910255592716221,-1.611721099955979e-07,2.5548857895117396e-08,-2.5396034060122827e-07,3.703765395269956e-08,-4.448810959891029e-10,-2.8086419623742753e-21,2.5396034060122827e-07
194,0.9009429845474467,-1.8023948377156854e-07,2.568362250957946e-08,-2.8054866550598464e-07,3.842501411531838e-08,-5.588739238999125e-10,-2.3219577578233665e-21,2.8054866550598464e-07
195,0.91085845389405,-2.0612446684367883e-07,4.774800794371843e-08,-3.169274859140512e-07,5.821732408770688e-08,-6.912593090541101e-10,-1.939975689174388e-21,3.169274859140512e-07
196,0.9207719157820895,-2.5779339316571374e-07,6.888391393053553e-08,-3.9340367839191666e-07,7.803457875756403e-08,-8.780640373729114e-10,-1.6091816056314476e-21,3.9340367839191666e-07
197,0.9306833175257317,-2.8455145108470585e-07,8.396679562755414e-08,-4.272526346988866e-07,9.34122071966815e-08,-1.1143076209712314e-09,-1.3310064646788875e-21,4.272526346988866e-07
198,0.9405925964928253,-3.403703449303787e-07,1.0214317904804122e-07,-5.046698633776115e-07,1.0686812351473734e-07,-1.1386643723750408e-09,-1.1295833807457187e-21,5.046698633776115e-07
199,0.9504996933920147,-1.5713317849202947e-06,-1.4473082361549777e-06,-2.74495706836529e-06,-1.067031823590427e-06,-2.6061589715233856e-09,-9.620666091720908e-22,2.74495706836529e-06
200,0.9604045413619378,-1.3830628414953276e-06,-1.604897356794506e-06,-2.534664481714008e-06,-1.2085825806568881e-06,-3.2207495252257694e-09,-7.759345899748873e-22,2.534664481714008e-06
201,0.970307070712698,2.3263856468668833e-06,2.3808072812247888e-06,4.2054492575796796e-06,1.7970140663399843e-06,4.714322100779322e-09,-5.248546842932521e-22,4.2054492575796796e-06
202,0.9802072088304364,-3.9655585501242475e-07,2.788640897028875e-07,-4.724839310729494e-07,2.414218919212767e-07,-1.4353941353559526e-09,-4.778839457359945e-22,4.724839310729494e-07
203,0.9901048859059101,-1.9519460193498096e-07,-3.706110217592531e-07,-2.145698505172297e-07,-2.7496826815533086e-07,-1.4521045856299181e-09,-2.541442796314924e-22,3.706110217592531e-07
204,1.0,-5.485180069185327e-07,9.226027696486226e-08,-7.262646426929e-07,1.6280628054329116e-07,-1.1740053700294007e-09,-2.194035767815155e-22,7.262646426929e-07
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0.99010488583018,6.633259366329111e-05,-2.3962008367681716e-05,9.426942143243886e-05,-6.796110873593846e-05,-1.5641748758801524e-05,-2.3005021383928145e-20,9.426942143243886e-05
207,0.9802072087012746,-1.0413016737688875e-05,1.0762790207750908e-05,-2.1748960514266373e-05,-1.8304339962584105e-05,-1.7963080053322743e-06,-3.767182195103986e-21,2.1748960514266373e-05
208,0.9703070705110818,-1.2808904753897542e-05,-2.3927863095886817e-05,-4.215827494029478e-05,-2.2482839201282287e-05,5.553854488682382e-06,6.311936884631025e-22,4.215827494029478e-05
209,0.9604045410907524,2.378162385447373e-06,-1.3302431977534524e-05,-5.730148376365992e-06,-1.2090110724089302e-05,6.606525908610515e-08,4.010405937255799e-23,1.3302431977534524e-05
210,0.9504996930532507,-1.4446298884258912e-06,2.073848156543349e-06,-2.3945125545867517e-06,1.7804717402606838e-06,-6.478446855456959e-08,5.4449382481703326e-24,2.3945125545867517e-06
211,0.9405925960792868,-3.7103364648936963e-07,2.6904550947699385e-07,-5.567608989136456e-07,2.3124581579854843e-07,2.658616552124073e-08,6.3544632531604815e-24,5.567608989136456e-07
212,0.9306833170590191,-2.771451301854741e-07,1.0178879378710582e-07,-4.017817716405885e-07,1.102200108166198e-07,-6.1684556266959794e-09,2.1099740857554277e-24,4.017817716405885e-07
213,0.9207719152579859,-2.960418602121658e-07,2.6232328537907997e-08,-4.5074159898736084e-07,4.723872212076731e-08,-1.618223966400243e-09,3.2958527521918133e-24,4.5074159898736084e-07
