path,alpha,level,eta,side,x_over_c,cp
conforming,0.0,xcoarse,0.20,upper,0.12030,-0.167607
conforming,0.0,xcoarse,0.20,upper,0.12068,-0.167720
conforming,0.0,xcoarse,0.20,upper,0.12105,-0.167832
conforming,0.0,xcoarse,0.20,upper,0.12143,-0.167944
conforming,0.0,xcoarse,0.20,upper,0.12180,-0.168056
conforming,0.0,xcoarse,0.20,upper,0.12218,-0.168169
conforming,0.0,xcoarse,0.20,upper,0.12256,-0.168281
conforming,0.0,xcoarse,0.20,upper,0.12293,-0.168393
conforming,0.0,xcoarse,0.20,upper,0.12331,-0.168506
conforming,0.0,xcoarse,0.20,upper,0.12368,-0.168618
conforming,0.0,xcoarse,0.20,upper,0.12406,-0.168730
conforming,0.0,xcoarse,0.20,upper,0.12444,-0.168842
conforming,0.0,xcoarse,0.20,upper,0.12481,-0.168955
conforming,0.0,xcoarse,0.20,upper,0.12519,-0.169067
conforming,0.0,xcoarse,0.20,upper,0.12556,-0.169179
conforming,0.0,xcoarse,0.20,upper,0.12594,-0.169292
conforming,0.0,xcoarse,0.20,upper,0.12632,-0.169404
conforming,0.0,xcoarse,0.20,upper,0.12669,-0.169516
conforming,0.0,xcoarse,0.20,upper,0.12707,-0.169628
conforming,0.0,xcoarse,0.20,upper,0.12744,-0.169741
conforming,0.0,xcoarse,0.20,upper,0.12782,-0.169853
conforming,0.0,xcoarse,0.20,upper,0.12820,-0.169965
conforming,0.0,xcoarse,0.20,upper,0.12857,-0.170077
conforming,0.0,xcoarse,0.20,upper,0.12895,-0.170190
conforming,0.0,xcoarse,0.20,upper,0.12932,-0.170302
conforming,0.0,xcoarse,0.20,upper,0.12970,-0.170414
conforming,0.0,xcoarse,0.20,upper,0.13008,-0.170527
conforming,0.0,xcoarse,0.20,upper,0.13045,-0.170639
conforming,0.0,xcoarse,0.20,upper,0.13083,-0.170751
conforming,0.0,xcoarse,0.20,upper,0.13120,-0.170863
conforming,0.0,xcoarse,0.20,upper,0.13158,-0.170976
conforming,0.0,xcoarse,0.20,upper,0.13195,-0.171088
