state,arm,eta,half,d
W M0.80,S2,0.99,0.02,0.8323875987330416
W M0.80,S2,0.2,0.04,-0.01195353537711108
W M0.80,S2,0.44,0.04,0.0027312063552183963
W M0.80,S2,0.65,0.04,0.0238904435339915
W M0.80,S2,0.8,0.04,0.017975504203203485
W M0.80,S2,0.9,0.04,0.013171650995102757
W M0.80,S2,0.96,0.04,0.7768593805869006
W M0.80,S2,0.99,0.04,0.8332586894467158
W M0.80,S3,0.2,0.01,-0.011260733575719883
W M0.80,S3,0.44,0.01,-0.034365650109188184
W M0.80,S3,0.65,0.01,-0.018854094810007438
W M0.80,S3,0.8,0.01,-0.012551828698095069
W M0.80,S3,0.9,0.01,-0.04592990057644475
W M0.80,S3,0.96,0.01,0.016395615615471343
W M0.80,S3,0.99,0.01,0.03258624438663932
W M0.80,S3,0.2,0.02,-0.008140081088776951
W M0.80,S3,0.44,0.02,-0.034365650109188184
W M0.80,S3,0.65,0.02,-0.002542921296235512
W M0.80,S3,0.8,0.02,-0.008019344090444691
W M0.80,S3,0.9,0.02,-0.005193961400872749
W M0.80,S3,0.96,0.02,0.02421411453800204
W M0.80,S3,0.99,0.02,0.04576353046373352
W M0.80,S3,0.2,0.04,-0.01195353537711108
W M0.80,S3,0.44,0.04,-0.008979404870443297
W M0.80,S3,0.65,0.04,0.007373427198685445
W M0.80,S3,0.8,0.04,0.017975504203203485
W M0.80,S3,0.9,0.04,-0.001007958571731471
W M0.80,S3,0.96,0.04,0.054044132378181564
W M0.80,S3,0.99,0.04,0.0744153792063757
W M0.82,P0,0.2,0.01,-0.008122059454005237
W M0.82,P0,0.44,0.01,-0.013504388600761197
W M0.82,P0,0.65,0.01,-0.0012280912222474294
W M0.82,P0,0.8,0.01,0.5233630249753722
W M0.82,P0,0.9,0.01,0.02201098041134486
W M0.82,P0,0.96,0.01,0.6827395420602522
W M0.82,P0,0.99,0.01,0.7560874893921459
W M0.82,P0,0.2,0.02,-0.006418139246248233
W M0.82,P0,0.44,0.02,-0.011186145353289878
W M0.82,P0,0.65,0.02,0.0021080028501486714
W M0.82,P0,0.8,0.02,0.5188683194295869
W M0.82,P0,0.9,0.02,0.03691619364894655
W M0.82,P0,0.96,0.02,0.6965761228832926
W M0.82,P0,0.99,0.02,0.7574914154815255
W M0.82,P0,0.2,0.04,0.005993093585540121
W M0.82,P0,0.44,0.04,0.03414966034336053
W M0.82,P0,0.65,0.04,0.002180278603153618
W M0.82,P0,0.8,0.04,0.5077700807429091
W M0.82,P0,0.9,0.04,0.03767695600528248
W M0.82,P0,0.96,0.04,0.6923748952617704
W M0.82,P0,0.99,0.04,0.7581563206578001
W M0.82,P1,0.2,0.01,0.0012424319454538146
W M0.82,P1,0.44,0.01,-0.0061543838294217945
W M0.82,P1,0.65,0.01,-0.013042227048627675
W M0.82,P1,0.8,0.01,-0.014036455112031554
W M0.82,P1,0.9,0.01,-0.012117724698399057
W M0.82,P1,0.96,0.01,0.00637741975797812
W M0.82,P1,0.99,0.01,0.7528638763360567
W M0.82,P1,0.2,0.02,0.0027700911903457692
W M0.82,P1,0.44,0.02,-0.0061543838294217945
W M0.82,P1,0.65,0.02,0.0021080028501486714
W M0.82,P1,0.8,0.02,-0.0062914405508660565
W M0.82,P1,0.9,0.02,0.0038946686005016384
W M0.82,P1,0.96,0.02,0.6965761228832926
W M0.82,P1,0.99,0.02,0.7516531836349163
W M0.82,P1,0.2,0.04,0.005993093585540121
W M0.82,P1,0.44,0.04,0.0227408263218154
W M0.82,P1,0.65,0.04,0.007608317799389863
W M0.82,P1,0.8,0.04,0.006965198083981938
W M0.82,P1,0.9,0.04,0.021363411609697125
W M0.82,P1,0.96,0.04,0.6894223958829176
W M0.82,P1,0.99,0.04,0.7525242743485905
W M0.82,P2,0.2,0.01,-0.008122059454005237
W M0.82,P2,0.44,0.01,-0.0061543838294217945
W M0.82,P2,0.65,0.01,-0.0012280912222474294
W M0.82,P2,0.8,0.01,-0.030584658450245827
W M0.82,P2,0.9,0.01,-0.012117724698399057
W M0.82,P2,0.96,0.01,0.005958263436218303
W M0.82,P2,0.99,0.01,0.7466837250115124
W M0.82,P2,0.2,0.02,-0.006418139246248233
W M0.82,P2,0.44,0.02,-0.0061543838294217945
W M0.82,P2,0.65,0.02,0.0021080028501486714
W M0.82,P2,0.8,0.02,-0.029480910640472147
W M0.82,P2,0.9,0.02,0.0038946686005016384
W M0.82,P2,0.96,0.02,0.013006860464949532
W M0.82,P2,0.99,0.02,0.7455840417345516
W M0.82,P2,0.2,0.04,-0.004787717253563417
W M0.82,P2,0.44,0.04,0.03414966034336053
W M0.82,P2,0.65,0.04,0.002180278603153618
W M0.82,P2,0.8,0.04,-0.004337405792618709
W M0.82,P2,0.9,0.04,0.005917328261071053
W M0.82,P2,0.96,0.04,0.6837620102753876
W M0.82,P2,0.99,0.04,0.746669472905604
W M0.82,P3,0.2,0.01,-0.008122059454005237
W M0.82,P3,0.44,0.01,-0.0010155195615980661
W M0.82,P3,0.65,0.01,-0.0012280912222474294
W M0.82,P3,0.8,0.01,-0.014036455112031554
W M0.82,P3,0.9,0.01,-0.012117724698399057
W M0.82,P3,0.96,0.01,-0.03345258646141841
W M0.82,P3,0.99,0.01,0.7365854837945436
W M0.82,P3,0.2,0.02,-0.006418139246248233
W M0.82,P3,0.44,0.02,-0.0010155195615980661
W M0.82,P3,0.65,0.02,0.0021080028501486714
W M0.82,P3,0.8,0.02,-0.013950214027209862
W M0.82,P3,0.9,0.02,0.0038946686005016384
W M0.82,P3,0.96,0.02,-0.001806703715931668
W M0.82,P3,0.99,0.02,0.7356671876525991
W M0.82,P3,0.2,0.04,-0.004787717253563417
W M0.82,P3,0.44,0.04,0.0227408263218154
W M0.82,P3,0.65,0.04,0.002180278603153618
W M0.82,P3,0.8,0.04,0.003343887894019515
W M0.82,P3,0.9,0.04,0.007020810934340427
W M0.82,P3,0.96,0.04,0.6745130556391337
W M0.82,P3,0.99,0.04,0.7371028467594245
W M0.82,S1,0.2,0.01,-0.008122059454005237
W M0.82,S1,0.44,0.01,-0.0061543838294217945
W M0.82,S1,0.65,0.01,-0.0012280912222474294
W M0.82,S1,0.8,0.01,-0.014036455112031554
W M0.82,S1,0.9,0.01,0.02201098041134486
W M0.82,S1,0.96,0.01,0.6742138949196123
W M0.82,S1,0.99,0.01,0.7560874893921459
W M0.82,S1,0.2,0.02,-0.006418139246248233
W M0.82,S1,0.44,0.02,-0.0061543838294217945
W M0.82,S1,0.65,0.02,0.0021080028501486714
W M0.82,S1,0.8,0.02,-0.013073768913096362
W M0.82,S1,0.9,0.02,0.03691619364894655
W M0.82,S1,0.96,0.02,0.6965761228832926
W M0.82,S1,0.99,0.02,0.7548188933468407
W M0.82,S1,0.2,0.04,0.005993093585540121
W M0.82,S1,0.44,0.04,0.03414966034336053
W M0.82,S1,0.65,0.04,0.007608317799389863
W M0.82,S1,0.8,0.04,0.0004974078638639856
W M0.82,S1,0.9,0.04,0.03767695600528248
W M0.82,S1,0.96,0.04,0.6923748952617704
W M0.82,S1,0.99,0.04,0.7555781824782288
W M0.82,S2,0.2,0.01,0.0012424319454538146
W M0.82,S2,0.44,0.01,-0.0061543838294217945
W M0.82,S2,0.65,0.01,-0.0012280912222474294
