node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
57,0.1038704358000066,-2.6503443349008486e-05,-1.1599542808657602e-05,-5.4471570077227355e-05,-7.401992016439259e-06,1.1089514467684183e-06,-1.0337144861229295e-09,5.4471570077227355e-05
58,0.12365268760356248,8.72651771779844e-07,-3.7892179852975195e-07,1.6135307520311088e-06,-3.8398013607856823e-07,-1.0930206858277091e-07,-1.4022394480273946e-11,1.6135307520311088e-06
59,0.14350422862265722,-9.128315185190107e-07,2.7528093732625107e-08,-2.165515314447984e-06,4.6614901527131336e-08,3.010867010233691e-08,-4.646440637510292e-12,2.165515314447984e-06
60,0.1634034826582959,2.867085622102127e-07,5.134834445800239e-07,7.232796497802864e-07,5.121198428362175e-07,2.0350220956949658e-07,-1.8048171629617586e-12,7.232796497802864e-07
61,0.18333609870808887,4.241444764076439e-07,9.923865747917956e-07,1.043660447488555e-06,1.0263151173525562e-06,5.974727344792816e-08,-1.7692772729839366e-12,1.043660447488555e-06
62,0.2032920885392514,-1.7343672744822562e-07,1.2800548179984814e-07,-3.277971580106494e-07,1.2425938933778722e-07,1.4757278486067466e-07,-3.1655465667820826e-12,3.277971580106494e-07
63,0.2232642668760063,7.450740335696921e-07,-3.815110135021906e-07,1.5983799271229773e-06,-4.169606186584966e-07,1.6215650864077598e-07,-1.1920587164288399e-12,1.5983799271229773e-06
64,0.24324733282501546,2.387787099992328e-07,-2.7859914406337007e-07,5.016469404230032e-07,-2.9811577532456984e-07,1.2864755902083258e-07,-4.866129937784521e-13,5.016469404230032e-07
65,0.26323730214266655,8.535439942662488e-08,-2.8563290921830455e-07,1.8067584640387486e-07,-2.8733625917861147e-07,1.0321972987512727e-07,-3.118117729760845e-13,2.8733625917861147e-07
66,0.2832311397507877,-3.357381666533247e-08,-1.5315447653368058e-07,-4.949671505937564e-08,-1.4368654336851017e-07,7.926267401551261e-08,-1.8688684924508664e-13,1.5315447653368058e-07
67,0.3032265149166168,-4.105116927229808e-08,-8.504819918641816e-08,-6.31855853965128e-08,-7.377171795146007e-08,5.876989128051713e-08,-1.0764893195250713e-13,8.504819918641816e-08
