state,z,gamma,resid_localfit,abs_F,d_up,d_lo,asym,dz_up,dz_lo,shared_up,shared_lo
conf_picard_medium,0.47564,0.087544,0.001840,2.65e-04,0.00749,0.00749,0.0000,0.00186,0.00535,0,0
conf_picard_medium,0.48284,0.089825,0.000393,2.28e-04,0.00749,0.00748,0.0005,0.00535,0.00534,1,1
conf_picard_medium,0.49005,0.089825,0.000342,2.28e-04,0.00748,0.00749,0.0004,0.00185,0.00187,1,1
conf_picard_medium,0.49726,0.087680,0.001845,1.88e-04,0.00749,0.00733,0.0104,0.00186,0.00531,0,1
conf_picard_medium,0.50446,0.092065,0.002495,1.57e-04,0.00743,0.00732,0.0076,0.00537,0.00189,0,1
conf_picard_medium,0.51167,0.090832,0.001185,1.26e-04,0.00685,0.00749,0.0444,0.00499,0.00535,0,0
conf_picard_medium,0.51888,0.090559,0.000787,1.17e-04,0.00683,0.00744,0.0425,0.00516,0.00531,1,0
conf_picard_medium,0.52608,0.088445,0.001511,1.12e-04,0.00681,0.00725,0.0312,0.00205,0.00511,1,1
conf_picard_medium,0.53329,0.090070,0.000129,1.17e-04,0.00690,0.00746,0.0388,0.00155,0.00210,0,1
conf_picard_medium,0.54050,0.087395,0.003104,1.33e-04,0.00766,0.00747,0.0129,0.00213,0.00547,0,1
conf_picard_medium,0.54770,0.091930,0.001102,1.39e-04,0.00749,0.00730,0.0125,0.00535,0.00174,1,1
conf_picard_medium,0.55491,0.090327,0.000816,1.41e-04,0.00749,0.00748,0.0006,0.00186,0.00185,1,0
conf_picard_medium,0.56212,0.092968,0.001572,1.31e-04,0.00749,0.00762,0.0081,0.00533,0.00192,0,0
conf_picard_medium,0.56932,0.091032,0.000518,1.15e-04,0.00749,0.00749,0.0001,0.00535,0.00535,0,1
conf_picard_medium,0.57653,0.093092,0.001510,1.22e-04,0.00749,0.00749,0.0000,0.00535,0.00186,0,1
conf_picard_medium,0.58374,0.092674,0.001206,1.54e-04,0.00744,0.00707,0.0252,0.00530,0.00128,0,0
conf_picard_medium,0.59094,0.092163,0.000977,1.79e-04,0.00728,0.00703,0.0172,0.00512,0.00152,1,0
conf_picard_medium,0.59815,0.090162,0.000579,1.92e-04,0.00748,0.00730,0.0122,0.00208,0.00191,1,0
conf_picard_medium,0.60536,0.088461,0.001702,2.54e-04,0.00760,0.00708,0.0353,0.00577,0.00540,1,1
