state,z,te_cp_gap
ls_m1_coarse,0.10089,0.00000
ls_m1_coarse,0.11531,0.00000
ls_m1_coarse,0.12972,0.00000
ls_m1_coarse,0.14413,0.00000
ls_m1_coarse,0.15855,0.00000
ls_m1_coarse,0.17296,0.00000
ls_m1_coarse,0.18737,0.00000
ls_m1_coarse,0.20179,0.00000
ls_m1_coarse,0.21620,0.00000
ls_m1_coarse,0.23061,0.00000
ls_m1_coarse,0.24503,0.00000
ls_m1_coarse,0.25944,0.00000
ls_m1_coarse,0.27385,0.00000
ls_m1_coarse,0.28827,0.00000
ls_m1_coarse,0.30268,0.00000
ls_m1_coarse,0.31709,0.00000
ls_m1_coarse,0.33150,0.00000
ls_m1_coarse,0.34592,0.00000
ls_m1_coarse,0.36033,0.00000
ls_m1_coarse,0.37474,0.00000
ls_m1_coarse,0.38916,0.00000
ls_m1_coarse,0.40357,0.00000
ls_m1_coarse,0.41798,0.00000
ls_m1_coarse,0.43240,0.00000
ls_m1_coarse,0.44681,0.00000
ls_m1_coarse,0.46122,0.00000
ls_m1_coarse,0.47564,0.00000
ls_m1_coarse,0.49005,0.00000
ls_m1_coarse,0.50446,0.00000
ls_m1_coarse,0.51888,0.00000
ls_m1_coarse,0.53329,0.00000
ls_m1_coarse,0.54770,0.00000
ls_m1_coarse,0.56212,0.00000
ls_m1_coarse,0.57653,0.00000
ls_m1_coarse,0.59094,0.00000
ls_m1_coarse,0.60536,0.00000
ls_m1_coarse,0.61977,0.00000
ls_m1_coarse,0.63418,0.00000
ls_m1_coarse,0.64860,0.00000
ls_m1_coarse,0.66301,0.00000
ls_m1_coarse,0.67742,0.00000
ls_m1_coarse,0.69184,0.00000
ls_m1_coarse,0.70625,0.00000
ls_m1_coarse,0.72066,0.00000
ls_m1_coarse,0.73508,0.00000
ls_m1_coarse,0.74949,0.00000
ls_m1_coarse,0.76390,0.00000
ls_m1_coarse,0.77832,0.00000
ls_m1_coarse,0.79273,0.00000
ls_m1_coarse,0.80714,0.00000
ls_m1_coarse,0.82156,0.00000
ls_m1_coarse,0.83597,0.00000
ls_m1_coarse,0.85038,0.00000
ls_m1_coarse,0.86480,0.00000
ls_m1_coarse,0.87921,0.00000
ls_m1_coarse,0.89362,0.00000
ls_m1_coarse,0.90803,0.00000
ls_m1_coarse,0.92245,0.00000
ls_m1_coarse,0.93686,0.00000
ls_m1_coarse,0.95127,0.00000
ls_m1_coarse,0.96569,0.00000
ls_m1_coarse,0.98010,0.00000
ls_m1_coarse,0.99451,0.00000
ls_m1_coarse,1.00893,0.00000
ls_m1_coarse,1.02334,0.00000
ls_m1_coarse,1.03775,0.00000
ls_m1_coarse,1.05217,0.00000
ls_m1_coarse,1.06658,0.00000
ls_m1_coarse,1.08099,0.00000
ls_m1_coarse,1.09541,0.00000
ls_m1_coarse,1.10982,0.00000
ls_m1_coarse,1.12423,0.00000
ls_m1_coarse,1.13865,0.00000
ls_m1_coarse,1.15306,0.00000
ls_m1_coarse,1.16747,0.00000
ls_m1_coarse,1.18189,0.00000
ls_m1_coarse,1.19630,0.00000
ls_m4_coarse,-0.00000,0.00000
ls_m4_coarse,0.01441,0.00000
ls_m4_coarse,0.02883,0.00000
ls_m4_coarse,0.04324,0.00000
ls_m4_coarse,0.05765,0.00000
ls_m4_coarse,0.07207,0.00000
ls_m4_coarse,0.08648,0.00000
ls_m4_coarse,0.10089,0.00000
ls_m4_coarse,0.11531,0.00000
ls_m4_coarse,0.12972,0.00000
ls_m4_coarse,0.14413,0.00000
ls_m4_coarse,0.15855,0.00000
ls_m4_coarse,0.17296,0.00000
ls_m4_coarse,0.18737,0.00000
ls_m4_coarse,0.20179,0.00000
ls_m4_coarse,0.21620,0.00000
ls_m4_coarse,0.23061,0.00000
ls_m4_coarse,0.24503,0.00000
ls_m4_coarse,0.25944,0.00000
ls_m4_coarse,0.27385,0.00000
ls_m4_coarse,0.28827,0.00000
ls_m4_coarse,0.30268,0.00000
ls_m4_coarse,0.31709,0.00000
ls_m4_coarse,0.33150,0.00000
ls_m4_coarse,0.34592,0.00000
ls_m4_coarse,0.36033,0.00000
ls_m4_coarse,0.37474,0.00000
ls_m4_coarse,0.38916,0.00000
ls_m4_coarse,0.40357,0.00000
ls_m4_coarse,0.41798,0.00000
ls_m4_coarse,0.43240,0.00000
ls_m4_coarse,0.44681,0.00000
ls_m4_coarse,0.46122,0.00000
ls_m4_coarse,0.47564,0.00000
ls_m4_coarse,0.49005,0.00000
ls_m4_coarse,0.50446,0.00000
ls_m4_coarse,0.51888,0.00000
ls_m4_coarse,0.53329,0.00000
ls_m4_coarse,0.54770,0.00000
ls_m4_coarse,0.56212,0.00000
ls_m4_coarse,0.57653,0.00000
ls_m4_coarse,0.59094,0.00000
ls_m4_coarse,0.60536,0.00000
ls_m4_coarse,0.61977,0.00000
ls_m4_coarse,0.63418,0.00000
ls_m4_coarse,0.64860,0.00000
ls_m4_coarse,0.66301,0.00000
ls_m4_coarse,0.67742,0.00000
ls_m4_coarse,0.69184,0.00000
ls_m4_coarse,0.70625,0.00000
ls_m4_coarse,0.72066,0.00000
ls_m4_coarse,0.73508,0.00000
ls_m4_coarse,0.74949,0.00000
ls_m4_coarse,0.76390,0.00000
ls_m4_coarse,0.77832,0.00000
ls_m4_coarse,0.79273,0.00000
ls_m4_coarse,0.80714,0.00000
ls_m4_coarse,0.82156,0.00000
ls_m4_coarse,0.83597,0.00000
ls_m4_coarse,0.85038,0.00000
ls_m4_coarse,0.86480,0.00000
ls_m4_coarse,0.87921,0.00000
ls_m4_coarse,0.89362,0.00000
ls_m4_coarse,0.90803,0.00000
ls_m4_coarse,0.92245,0.00000
ls_m4_coarse,0.93686,0.00000
ls_m4_coarse,0.95127,0.00000
ls_m4_coarse,0.96569,0.00000
ls_m4_coarse,0.98010,0.00000
ls_m4_coarse,0.99451,0.00000
ls_m4_coarse,1.00893,0.00000
ls_m4_coarse,1.02334,0.00000
ls_m4_coarse,1.03775,0.00000
ls_m4_coarse,1.05217,0.00000
ls_m4_coarse,1.06658,0.00000
ls_m4_coarse,1.08099,0.00000
ls_m4_coarse,1.09541,0.00000
ls_m4_coarse,1.10982,0.00000
ls_m4_coarse,1.12423,0.00000
ls_m4_coarse,1.13865,0.00000
ls_m4_coarse,1.15306,0.00000
ls_m4_coarse,1.16747,0.00000
ls_m4_coarse,1.18189,0.00000
ls_m4_coarse,1.19630,0.00000
ls_newton_medium,-0.00000,0.00000
ls_newton_medium,0.00721,0.00000
ls_newton_medium,0.01441,0.00000
ls_newton_medium,0.02162,0.00000
ls_newton_medium,0.02883,0.00000
ls_newton_medium,0.03603,0.00000
ls_newton_medium,0.04324,0.00000
ls_newton_medium,0.05045,0.00000
ls_newton_medium,0.05765,0.00000
ls_newton_medium,0.06486,0.00000
ls_newton_medium,0.07207,0.00000
ls_newton_medium,0.07927,0.00000
ls_newton_medium,0.08648,0.00000
ls_newton_medium,0.09369,0.00000
ls_newton_medium,0.10089,0.00000
ls_newton_medium,0.10810,0.00000
ls_newton_medium,0.11531,0.00000
ls_newton_medium,0.12251,0.00000
ls_newton_medium,0.12972,0.00000
ls_newton_medium,0.13693,0.00000
ls_newton_medium,0.14413,0.00000
ls_newton_medium,0.15134,0.00000
ls_newton_medium,0.15855,0.00000
ls_newton_medium,0.16575,0.00000
ls_newton_medium,0.17296,0.00000
ls_newton_medium,0.18017,0.00000
ls_newton_medium,0.18737,0.00000
ls_newton_medium,0.19458,0.00000
ls_newton_medium,0.20179,0.00000
ls_newton_medium,0.20899,0.00000
ls_newton_medium,0.21620,0.00000
ls_newton_medium,0.22341,0.00000
ls_newton_medium,0.23061,0.00000
ls_newton_medium,0.23782,0.00000
ls_newton_medium,0.24503,0.00000
ls_newton_medium,0.25223,0.00000
ls_newton_medium,0.25944,0.00000
