side,x,re_theta_xfoil,theta_x,theta_o,ctau_x,ctau_o,ctau_eq_o,delta_o,s
side_a,0.67987,5259.0069,0.001623,0.0016246129991018788,0.0013504155040000001,0.0013504483191498946,0.0013724664157594723,0.014180593631916217,0.70333
side_a,0.68941,5334.380999999999,0.001651,0.0016531969070064472,0.0013510770489999998,0.0013511126547807739,0.001374264608489935,0.014424975939066343,0.7129099999999999
side_a,0.69894,5412.1536,0.00168,0.0016823767806782757,0.0013520328999999998,0.0013520227165389506,0.001376599858760945,0.01467262266906845,0.72249
side_a,0.70848,5492.4857999999995,0.00171,0.0017119558940973327,0.0013530626559999997,0.0013530812727735157,0.001379175182206859,0.01492271484707446,0.73207
side_a,0.71802,5572.089,0.00174,0.001742000492118723,0.001354313601,0.0013543141899732254,0.0013820579945863437,0.015175564643833041,0.7416499999999999
side_a,0.72755,5651.0082,0.00177,0.001772480930037577,0.0013556387609999997,0.0013556894599835443,0.0013851516079164987,0.015431193310979443,0.7512399999999999
side_a,0.73709,5732.25882,0.001801,0.0018035690585724987,0.001357259281,0.0013572924458224792,0.001388690686472634,0.015690251758709813,0.7608299999999999
side_a,0.74663,5816.017349999999,0.001833,0.0018350376609698534,0.001358954496,0.001359028536648641,0.0013924033221256237,0.01595164150217327,0.7704099999999999
side_a,0.75617,5900.90778,0.001866,0.0018683645881876064,0.001361462404,0.001361515448705943,0.001397989866639529,0.01622216347768042,0.7799999999999999
side_a,0.76571,5984.05236,0.001898,0.0018998123630761946,0.0013630864,0.0013631479706194295,0.0014009048943323008,0.01648535427368082,0.78959
side_a,0.77524,6073.060740000001,0.001933,0.0019347960090681999,0.001366189444,0.001366212231617955,0.001407694664131013,0.01676485752536724,0.79918
side_a,0.78478,6159.4637999999995,0.001967,0.0019688193331656575,0.0013687780090000001,0.0013688195493236366,0.0014128515927040552,0.017041321956841902,0.8087799999999999
side_a,0.79431,6247.441199999999,0.002002,0.0020041542364435867,0.001371887521,0.0013719131616328644,0.0014191558486594039,0.01732433978289077,0.8183699999999999
side_a,0.80384,6339.781139999999,0.002039,0.002041138562514363,0.0013755939209999998,0.0013756133134866775,0.0014268823294362198,0.0176156280852882,0.8279599999999999
side_a,0.81337,6431.71788,0.002076,0.002078124876524178,0.001379231044,0.001379267255867386,0.0014341422877753387,0.017907898219419554,0.83754
side_a,0.8229,6529.806719999999,0.002116,0.002118138432395616,0.001383914401,0.0013840258326990775,0.001444234221900423,0.018214690131933768,0.8471299999999999
side_a,0.83242,6627.4362,0.002156,0.0021581679179028556,0.001388680225,0.0013887330382949183,0.0014537452966451238,0.018522829484219124,0.8567199999999999
side_a,0.84194,6728.979179999998,0.002198,0.002200169890374371,0.0013940515690000002,0.0013941273043042688,0.0014648583286375346,0.018840718092123395,0.8663
side_a,0.85146,6834.288599999999,0.002242,0.002244259113027587,0.001400181561,0.0014002311594219984,0.0014775771753035433,0.019169101716945174,0.87588
side_a,0.86096,6940.724819999999,0.002287,0.00228992885175312,0.0014067750489999999,0.001406846190491323,0.0014912868281531906,0.019505844811390484,0.8854599999999999
side_a,0.87046,7053.824849999998,0.002335,0.0023377122196083498,0.001414060816,0.0014141706727163858,0.0015065746914655175,0.019853038280641187,0.8950199999999999
side_a,0.87995,7174.6775099999995,0.002387,0.002389712675350892,0.0014227983999999998,0.0014229175033128873,0.001525484579222694,0.020220276529310327,0.9045799999999999
