arm,x,re_theta,H,cf,cf_coles_fernholz,cf_power_law,band,corr_spread,worst_dev,inside
new,40.42500556928762,6231.076907764402,1.342955553225798,0.002833497413654023,0.0027679525308763556,0.0027012853533833958,0.04875792854783321,0.024378964273916604,0.048944129543748494,0
new,43.52713528887078,6667.912767470178,1.3402700535682721,0.002799775241035698,0.0027319676199013703,0.00265591250842726,0.0564638482391059,0.02823192411955295,0.05416696978984015,1
new,46.867315904467475,7132.7058644281815,1.337636745277031,0.0027668417851641008,0.0026968727657585333,0.002611545897693851,0.06429550755078475,0.032147753775392376,0.059465118957849894,1
new,50.46381494007422,7627.312535059016,1.3350530315410714,0.002734655333943001,0.0026626213056677346,0.0025681379947381042,0.07225208081916497,0.036126040409582484,0.06483971638053587,1
new,54.336301730974775,8153.712272646911,1.3325165497169056,0.0027031779217064297,0.002629170722477739,0.0025256455194503425,0.0803327980426124,0.0401663990213062,0.07029189206833886,1
new,58.505954995783625,8714.01606232749,1.3300251440179949,0.0026723748971433487,0.002596482164378402,0.002484028948178579,0.08853693158696876,0.04426846579348438,0.07582276732438031,1
new,62.99557866334104,9310.47527529377,1.327576841952241,0.0026422145500914983,0.002564520030603725,0.002443252089895004,0.09686378516492382,0.04843189258246191,0.08143345544218672,1
new,67.82972658792058,9945.491161177812,1.325169833907276,0.002612667787972238,0.0025332516126678833,0.0024032817181331863,0.10531268469211874,0.05265634234605937,0.08712506247569607,1
old,5.4913632502228715,558.0888007050029,1.497917512681906,0.004409562325488528,0.004714307149967573,0.004937821824041815,0.09262813403182132,0.04631406701591066,0.10698229247180169,0
old,5.912758891352607,651.8109181567781,1.4619434393740454,0.004435981355223779,0.00453455972822934,0.004749860271501033,0.09275777841930702,0.04637888920965351,0.06608171574235888,1
old,6.366491545765143,751.2766479960902,1.4480579120802597,0.004328481006597463,0.0043789708680510315,0.0045841758536115055,0.09157720694877185,0.045788603474385924,0.05577771341660043,1
old,6.855042687699866,855.5498706879484,1.4390105372111677,0.004211069664594113,0.004243494512395719,0.004437617946271128,0.08944633987852757,0.044723169939263785,0.05105177697133223,1
old,7.381084214498833,964.8301832785431,1.4316841866034464,0.00410153301320506,0.004123713933898771,0.004306242882093509,0.08660967175939353,0.04330483587969677,0.04753792911674504,1
old,7.947493059274324,1079.5334044574745,1.4252593225754162,0.004001630957222645,0.004016306685554257,0.004186992860530836,0.08322805915726263,0.04161402957863131,0.04427089070428725,1
