x,y,z,xc_local,z_over_b,side,ds,ds_over_c,H,B,Psi,Ctau1,Ctau2,cf1,pinned,tip_masked
0.006842,0.012726,0.000000,0.0085,0.0000,1,3.987160e-05,4.946196e-05,2.6661,0.000000e+00,0.000000e+00,1.000000e-08,0.000000e+00,2.562512e-03,1,0
0.006841,-0.012726,0.000000,0.0085,0.0000,-1,4.651874e-05,5.770794e-05,2.6301,0.000000e+00,0.000000e+00,1.000000e-08,0.000000e+00,2.913291e-03,1,0
0.020613,-0.019885,0.000000,0.0256,0.0000,-1,2.523028e-05,3.129895e-05,2.4930,1.258756e-03,-4.845883e+00,1.000000e-08,9.984457e-09,3.749841e-03,0,0
0.041359,-0.024097,0.000000,0.0513,0.0000,-1,2.462707e-05,3.055064e-05,-0.5872,2.777325e-01,2.247332e+02,1.352329e-04,-2.977715e-05,3.550624e-03,0,0
0.069603,-0.027971,0.000000,0.0863,0.0000,-1,2.939468e-04,3.646501e-04,14.7540,8.881987e-01,1.729106e+01,-8.557218e-04,-2.502242e-03,3.093200e-04,0,0
0.099235,-0.031084,0.000000,0.1231,0.0000,-1,1.220365e-04,1.513901e-04,1.4652,2.612457e+00,7.766378e+01,-1.270686e-03,3.877405e-03,3.986979e-03,0,0
0.128933,-0.033496,0.000000,0.1599,0.0000,-1,1.352675e-04,1.678035e-04,2.4984,1.073528e+01,3.018788e-01,-2.891747e-04,1.161992e-04,3.167812e-03,0,0
0.158668,-0.035390,0.000000,0.1968,0.0000,-1,2.311722e-04,2.867763e-04,1.5109,4.113972e-02,-1.223710e+00,-7.037402e-04,2.727321e-03,3.019386e-03,0,0
0.188427,-0.036877,0.000000,0.2337,0.0000,-1,1.849883e-04,2.294837e-04,2.3416,4.214580e+00,1.828389e-01,-7.205429e-05,-4.191528e-04,2.971291e-03,0,0
0.218201,-0.038018,0.000000,0.2707,0.0000,-1,3.474602e-04,4.310352e-04,1.4067,7.707045e-01,-1.177856e+02,1.192595e-03,6.377980e-03,3.115635e-03,0,0
0.247986,-0.038830,0.000000,0.3076,0.0000,-1,3.394237e-04,4.210656e-04,1.4680,3.571895e-02,-1.044936e+02,4.506903e-04,-6.002932e-03,2.992088e-03,0,0
0.277778,-0.039310,0.000000,0.3446,0.0000,-1,1.337957e-04,1.659778e-04,2.4037,-6.348833e-01,8.208300e+01,-2.347848e-03,-3.048478e-03,3.304806e-03,0,0
0.307574,-0.039439,0.000000,0.3816,0.0000,-1,4.017573e-04,4.983924e-04,1.3731,-1.171955e+00,-3.098469e+02,-4.528147e-03,3.955631e-02,3.074015e-03,0,0
0.337369,-0.039197,0.000000,0.4185,0.0000,-1,3.793633e-04,4.706119e-04,1.4994,-8.956293e-01,-1.028885e+02,-3.331269e-03,1.325602e-02,2.863197e-03,0,0
0.367158,-0.038585,0.000000,0.4555,0.0000,-1,5.078217e-04,6.299686e-04,1.4045,-1.750442e+00,-8.424693e+01,-3.722702e-03,5.073811e-03,2.884886e-03,0,0
0.396938,-0.037594,0.000000,0.4924,0.0000,-1,5.984960e-04,7.424529e-04,1.4212,-7.114699e-01,1.036105e+02,-2.567427e-03,6.883088e-03,2.709512e-03,0,0
0.426703,-0.036247,0.000000,0.5293,0.0000,-1,6.163766e-04,7.646343e-04,1.3894,-1.354215e-01,6.994443e+01,-1.055330e-04,1.934109e-03,2.748836e-03,0,0
0.456452,-0.034576,0.000000,0.5662,0.0000,-1,5.765957e-04,7.152849e-04,1.3910,3.493846e-01,-6.496971e+01,7.532166e-05,6.701580e-04,2.798981e-03,0,0
0.486184,-0.032625,0.000000,0.6031,0.0000,-1,7.027330e-04,8.717621e-04,1.4412,-2.475410e-01,6.929371e+01,-1.502695e-04,1.221509e-03,2.569647e-03,0,0
0.515900,-0.030442,0.000000,0.6400,0.0000,-1,8.544437e-04,1.059964e-03,1.4348,3.475327e+00,-4.189477e+01,4.154268e-05,5.844834e-04,2.482173e-03,0,0
0.545602,-0.028073,0.000000,0.6768,0.0000,-1,9.891768e-04,1.227105e-03,1.4300,5.913830e+00,-4.430562e-01,9.986061e-04,2.237035e-04,2.261866e-03,0,0
0.575292,-0.025555,0.000000,0.7137,0.0000,-1,1.099291e-03,1.363705e-03,1.4520,6.807451e+00,-1.792674e+00,-4.330370e-04,1.886356e-04,2.182430e-03,0,0
0.604970,-0.022906,0.000000,0.7505,0.0000,-1,1.189426e-03,1.475520e-03,1.4517,6.487365e+00,-1.947789e+00,7.405241e-04,1.237784e-04,2.146915e-03,0,0
0.634636,-0.020123,0.000000,0.7873,0.0000,-1,1.246572e-03,1.546412e-03,1.4506,2.657777e+00,-8.169842e-01,1.248120e-03,7.559232e-05,2.076692e-03,0,0
0.664286,-0.017182,0.000000,0.8241,0.0000,-1,1.378337e-03,1.709870e-03,1.5039,9.614572e+00,-3.424658e+00,-2.037889e-03,4.583662e-05,2.025164e-03,0,0
0.693917,-0.014046,0.000000,0.8608,0.0000,-1,1.448184e-03,1.796517e-03,1.4474,4.842418e+00,-1.299331e+00,2.548656e-03,1.868313e-05,2.029571e-03,0,0
0.723522,-0.010678,0.000000,0.8976,0.0000,-1,1.572237e-03,1.950408e-03,1.5240,1.603571e+01,-3.087205e+00,-1.470072e-04,1.656008e-05,1.933634e-03,0,0
0.752599,-0.006996,0.000000,0.9336,0.0000,-1,1.371859e-03,1.701834e-03,1.4191,1.034630e+01,-4.025523e+00,-2.275633e-03,8.771645e-06,2.246931e-03,0,0
0.775101,-0.004057,0.000000,0.9615,0.0000,-1,1.217205e-03,1.509980e-03,1.6220,-1.299339e+01,-7.390122e+01,1.551911e-03,1.224541e-06,2.339748e-03,0,0
0.791334,-0.001932,0.000000,0.9817,0.0000,-1,2.090886e-03,2.593809e-03,1.8483,4.127268e+00,-1.173070e+02,-4.387017e-02,1.150373e-05,1.522419e-03,0,0
0.007427,0.000000,0.012863,0.0000,0.0108,-1,5.142554e-06,6.409686e-06,2.6268,0.000000e+00,0.000000e+00,1.000000e-08,0.000000e+00,2.743832e-02,1,0
