i,residual,drho,dgamma,gamma_mean,gamma_root,n_lin_solves,n_lin_iters,n_refactor,n_limited,n_floored,wall_cum_s,t_seed,t_assembly,t_precond,t_linsolve,t_residual,t_kutta
175,6.604e-05,0.02277053,0.0009829,0.20214996,0.20214996,1,0,0,0,0,15.64872709,0.0,0.02965778,0.0,0.03464119,0.00187018,4.913e-05
176,6.634e-05,0.02186812,0.00096292,0.20263142,0.20263142,1,0,0,0,0,15.71378073,0.0,0.02911505,0.0,0.03398304,0.00187021,5.552e-05
177,6.663e-05,0.02097447,0.00094763,0.20310524,0.20310524,1,0,0,0,0,15.77824122,0.0,0.02819488,0.0,0.03428529,0.00189926,5.156e-05
178,6.689e-05,0.02010014,0.00093646,0.20357347,0.20357347,1,0,0,0,0,15.84342885,0.0,0.02826261,0.0,0.03476209,0.00203327,9.144e-05
179,6.713e-05,0.01926441,0.00092844,0.20403768,0.20403768,1,0,0,0,0,15.91003561,0.0,0.03036506,0.0,0.03401767,0.00214422,4.989e-05
180,6.736e-05,0.01888631,0.00092749,0.20450143,0.20450143,1,0,0,0,0,15.97245429,0.0,0.02634623,0.0,0.03413437,0.00185074,5.873e-05
181,6.763e-05,0.01825743,0.00090858,0.20495572,0.20495572,1,0,0,0,0,16.03691944,0.0,0.02869201,0.0,0.03388909,0.0018005,5.561e-05
182,6.789e-05,0.01763961,0.00089477,0.2054031,0.2054031,1,0,0,0,0,16.10162511,0.0,0.02857935,0.0,0.03424895,0.00180174,4.84e-05
183,6.813e-05,0.01686498,0.00087569,0.20584095,0.20584095,1,0,0,0,0,16.16565329,0.0,0.02824763,0.0,0.0339174,0.00178849,4.925e-05
184,6.835e-05,0.01622089,0.0008683,0.20627509,0.20627509,1,0,0,0,0,16.23132633,0.0,0.02899179,0.0,0.03471701,0.00188687,4.934e-05
185,6.856e-05,0.01580189,0.00085903,0.20670461,0.20670461,1,0,0,0,0,16.29599582,0.0,0.02911487,0.0,0.03361684,0.0018583,5.041e-05
186,6.875e-05,0.01548716,0.00085586,0.20713254,0.20713254,1,0,0,0,0,16.36094038,0.0,0.02859282,0.0,0.03438753,0.00188273,5.221e-05
187,6.894e-05,0.01526704,0.00085776,0.20756142,0.20756142,1,0,0,0,0,16.42610502,0.0,0.02884644,0.0,0.03440928,0.00183105,5.079e-05
188,6.913e-05,0.01507936,0.0008537,0.20798827,0.20798827,1,0,0,0,0,16.49196801,0.0,0.02869145,0.0,0.03516892,0.00190178,6.748e-05
189,6.931e-05,0.01486605,0.00085245,0.20841449,0.20841449,1,0,0,0,0,16.55851859,0.0,0.02952456,0.0,0.03491183,0.00199252,8.398e-05
190,6.948e-05,0.01462523,0.0008603,0.20884464,0.20884464,1,0,0,0,0,16.62513599,0.0,0.03013404,0.0,0.03447792,0.00192105,5.252e-05
191,6.965e-05,0.01474615,0.00086528,0.20927728,0.20927728,1,0,0,0,0,16.69085579,0.0,0.02902516,0.0,0.03475074,0.00186066,5.356e-05
192,6.984e-05,0.01500848,0.00087401,0.20971429,0.20971429,1,0,0,0,0,16.75546436,0.0,0.02886248,0.0,0.03383446,0.00182806,5.634e-05
193,7.002e-05,0.01515581,0.00087387,0.21015122,0.21015122,1,0,0,0,0,16.82148322,0.0,0.02906629,0.0,0.03498391,0.00187574,6.173e-05
194,7.02e-05,0.01521381,0.00088167,0.21059206,0.21059206,1,0,0,0,0,16.88664658,0.0,0.02884326,0.0,0.03433129,0.00190802,5.188e-05
195,7.039e-05,0.01882684,0.00090937,0.21104674,0.21104674,1,0,0,0,0,16.95097788,0.0,0.02862867,0.0,0.03379261,0.00183375,4.942e-05
