arm,s,x,turbulent,ue,theta_x,theta_o,H_x,H_o,cf_x,cf_o,ctau_x,ctau_o,march
equil,0.6077299999999999,0.58463,1,1.11094,0.001352,0.0013673767468569133,1.411,1.4100600298121055,0.002731351191390223,0.0027285924366944668,0.0013494602249999998,0.001356988526862584,A_whole
equil,0.61727,0.59414,1,1.10784,0.001378,0.0013935191487402612,1.411,1.410044937518914,0.002719770435705177,0.0027173067689257586,0.001349166361,0.001357190121148705,A_whole
equil,0.62681,0.60366,1,1.10479,0.001404,0.001419678140800407,1.411,1.4099899449441744,0.0027077713865709466,0.0027064879882455054,0.0013488725290000001,0.0013571964479105116,A_whole
equil,0.6363599999999999,0.61317,1,1.10174,0.00143,0.001446083619298579,1.411,1.4099660044216427,0.0026972452718344074,0.0026957101774014846,0.001348652176,0.0013573402084266063,A_whole
equil,0.6459199999999999,0.6227,1,1.09863,0.001457,0.0014730114359604815,1.411,1.4100554242160899,0.0026851968126839106,0.002684494950077601,0.001348652176,0.001358006944696449,A_whole
equil,0.65548,0.63222,1,1.09554,0.001484,0.0015000945168090417,1.412,1.4101406888807018,0.0026737034662570624,0.002673516140899409,0.0013487256250000002,0.0013586468410747361,A_whole
equil,0.66504,0.64175,1,1.09254,0.001511,0.0015270024031998537,1.412,1.410124467796048,0.00266327391406871,0.00266332024168805,0.001348652176,0.001358804763723003,A_whole
equil,0.6746099999999999,0.65127,1,1.08953,0.001538,0.0015542167817257728,1.412,1.410155359822085,0.0026527374874504924,0.002653052008574019,0.0013487256250000002,0.001359176426518075,A_whole
equil,0.68418,0.6608,1,1.0862,0.001567,0.0015832571007647444,1.412,1.4106758930565437,0.002639362313791463,0.002640224060017178,0.001349680644,0.0013618322672426795,A_whole
equil,0.69375,0.67034,1,1.08328,0.001594,0.0016105289195309368,1.412,1.4106025600844012,0.0026297500471221215,0.002630904357458331,0.001349680644,0.0013617039429008994,A_whole
equil,0.70333,0.67987,1,1.0801,0.001623,0.001639397612531816,1.413,1.4109449956637277,0.002617827951803953,0.0026194447617198823,0.0013504155040000001,0.0013635145293051474,A_whole
equil,0.7129099999999999,0.68941,1,1.077,0.001651,0.0016681326866602657,1.413,1.4111835593806374,0.0026061939998051607,0.0026087375010442515,0.0013510770489999998,0.0013648336068978726,A_whole
equil,0.72249,0.69894,1,1.07384,0.00168,0.0016974701135320281,1.414,1.411532459929663,0.002594671818388025,0.002597594200907364,0.0013520328999999998,0.0013666632596001334,A_whole
equil,0.73207,0.70848,1,1.07066,0.00171,0.001727211556412006,1.414,1.411926701947906,0.0025830645073865563,0.00258636944012629,0.0013530626559999997,0.0013686997744757306,A_whole
equil,0.7416499999999999,0.71802,1,1.06745,0.00174,0.0017574238589679238,1.415,1.4123799666164105,0.0025705395399915937,0.0025749854600177606,0.001354313601,0.0013710073722253335,A_whole
equil,0.7512399999999999,0.72755,1,1.06422,0.00177,0.0017880771099705456,1.415,1.4128711848615754,0.0025587953234846375,0.0025635457310583683,0.0013556387609999997,0.0013734879232731693,A_whole
equil,0.7608299999999999,0.73709,1,1.06094,0.001801,0.0018193446832951475,1.416,1.413449248287007,0.002546211871795191,0.0025517922132358936,0.001357259281,0.0013763701380594855,A_whole
equil,0.7704099999999999,0.74663,1,1.05765,0.001833,0.0018509976650517694,1.417,1.4140565302730874,0.0025343647285943787,0.0025400442959445002,0.001358954496,0.0013793845220759803,A_whole
equil,0.7799999999999999,0.75617,1,1.05411,0.001866,0.00188452549778004,1.418,1.4150455075668762,0.0025199165834785273,0.002526391229342567,0.001361462404,0.0013841806268522889,A_whole
equil,0.78959,0.76571,1,1.05094,0.001898,0.0019161617332077677,1.419,1.415462090042549,0.002507979168318681,0.0025159421822991785,0.0013630864,0.001386295267544477,A_whole
equil,0.79918,0.77524,1,1.04726,0.001933,0.0019513631586146707,1.42,1.416686090483554,0.0024928117221003905,0.0025013562194871686,0.001366189444,0.0013921834613415543,A_whole
equil,0.8087799999999999,0.78478,1,1.0438,0.001967,0.001985599348712729,1.421,1.4175480727939702,0.002479994739694355,0.0024888205453396537,0.0013687780090000001,0.001396374999769852,A_whole
equil,0.8183699999999999,0.79431,1,1.0402,0.002002,0.0020211594812213807,1.422,1.4186404603529006,0.0024648433123043165,0.002475231957735007,0.001371887521,0.0014016412417965482,A_whole
equil,0.8279599999999999,0.80384,1,1.03642,0.002039,0.0020583838478356884,1.424,1.4200130887580513,0.0024493411447526247,0.002460331754248403,0.0013755939209999998,0.0014082162767279883,A_whole
equil,0.83754,0.81337,1,1.03271,0.002076,0.0020956130664364363,1.426,1.4212688697437044,0.0024341532842025414,0.0024461963450163374,0.001379231044,0.0014142418687794608,A_whole
equil,0.8471299999999999,0.8229,1,1.02864,0.002116,0.002135894089224325,1.428,1.4230953481295845,0.0024156501248026926,0.002429274189523971,0.001383914401,0.0014229371390834218,A_whole
equil,0.8567199999999999,0.83242,1,1.02465,0.002156,0.0021761942794602984,1.43,1.4247713214381923,0.0023983062376518745,0.002413285020847259,0.001388680225,0.0014309263809462321,A_whole
equil,0.8663,0.84194,1,1.02047,0.002198,0.0022184838417565,1.432,1.4267559991689631,0.0023795827858276736,0.0023959077143295236,0.0013940515690000002,0.001440359794437688,A_whole
equil,0.87588,0.85146,1,1.0161,0.002242,0.002262878122973083,1.435,1.4290419378330455,0.00235941524508266,0.0023771981954684323,0.001400181561,0.0014512036927827106,A_whole
equil,0.8854599999999999,0.86096,1,1.01162,0.002287,0.0023088667979879072,1.438,1.4314960091942879,0.0023383412169971658,0.0023578463156656354,0.0014067750489999999,0.0014628352012989408,A_whole
equil,0.8950199999999999,0.87046,1,1.00697,0.002335,0.0023569861221777685,1.441,1.4342380895228617,0.0023156079311228072,0.002337298120389282,0.001414060816,0.0014758163674706611,A_whole
equil,0.9045799999999999,0.87995,1,1.00191,0.002387,0.0024093522813441524,1.445,1.4376796596183534,0.0022902429170217906,0.002313578023962063,0.0014227983999999998,0.001492077600953381,A_whole
equil,0.9141199999999999,0.88942,1,0.99688,0.00244,0.0024625003795132163,1.449,1.441062308724739,0.0022651122509371522,0.002290428041790701,0.0014317899209999997,0.0015080641756586978,A_whole
equil,0.92363,0.89886,1,0.99126,0.002499,0.002521839588237799,1.454,1.4455252699424819,0.0022338775388349493,0.0022624648168166083,0.0014427842559999998,0.0015291192444304412,A_whole
equil,0.93311,0.90826,1,0.98563,0.002559,0.002582618276548127,1.459,1.45002111967168,0.0022038845465407633,0.002234741884207476,0.0014542782250000002,0.001550331238709412,A_whole
