node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
360,0.522965,-1,turbulent,mid,-4.406849e-08,5.480832e-11,-8.186396e-08,4.642003e-09,1.239832e-09,1.727862e-21,8.186396e-08
361,0.532939,-1,turbulent,mid,-4.522783e-08,2.293414e-10,-8.397196e-08,5.009521e-09,1.212070e-09,1.483047e-21,8.397196e-08
362,0.542911,-1,turbulent,mid,-4.632082e-08,6.297013e-10,-8.600684e-08,5.646936e-09,1.184966e-09,1.275794e-21,8.600684e-08
363,0.552882,-1,turbulent,mid,-4.703624e-08,5.055461e-10,-8.742888e-08,5.576307e-09,1.161452e-09,1.099822e-21,8.742888e-08
364,0.562851,-1,turbulent,mid,-4.806885e-08,4.585598e-10,-8.932418e-08,5.569142e-09,1.136134e-09,9.497050e-22,8.932418e-08
365,0.572819,-1,turbulent,mid,-4.927194e-08,3.444524e-10,-9.149663e-08,5.592257e-09,1.108746e-09,8.216445e-22,9.149663e-08
366,0.582786,-1,turbulent,mid,-5.038981e-08,8.551444e-11,-9.353415e-08,5.381804e-09,1.081807e-09,7.123310e-22,9.353415e-08
367,0.592751,-1,turbulent,mid,-5.190157e-08,1.340377e-10,-9.621492e-08,5.498944e-09,1.052599e-09,6.187125e-22,9.621492e-08
368,0.602714,-1,turbulent,mid,-5.267322e-08,2.049966e-10,-9.765073e-08,5.848949e-09,1.028390e-09,5.383437e-22,9.765073e-08
369,0.612677,-1,turbulent,mid,-5.370705e-08,3.857054e-11,-9.951280e-08,5.597125e-09,1.003630e-09,4.692820e-22,9.951280e-08
370,0.622637,-1,turbulent,mid,-5.477814e-08,3.685446e-10,-1.014049e-07,6.146295e-09,9.770467e-10,4.096329e-22,1.014049e-07
371,0.632597,-1,turbulent,mid,-5.603858e-08,6.819841e-11,-1.035675e-07,5.971886e-09,9.508385e-10,3.583299e-22,1.035675e-07
372,0.642555,-1,turbulent,mid,-5.769557e-08,-8.836606e-11,-1.064057e-07,5.861013e-09,9.204497e-10,3.139761e-22,1.064057e-07
373,0.652511,-1,turbulent,mid,-5.893532e-08,1.493872e-10,-1.084928e-07,6.337620e-09,8.930513e-10,2.755356e-22,1.084928e-07
374,0.662467,-1,turbulent,mid,-6.029453e-08,-1.012842e-10,-1.108233e-07,6.129193e-09,8.659178e-10,2.422312e-22,1.108233e-07
375,0.672420,-1,turbulent,mid,-6.202094e-08,-1.776007e-10,-1.136617e-07,6.050413e-09,8.349447e-10,2.132120e-22,1.136617e-07
376,0.682373,-1,turbulent,mid,-6.333225e-08,7.898114e-10,-1.157348e-07,7.626391e-09,8.054184e-10,1.879534e-22,1.157348e-07
377,0.692324,-1,turbulent,mid,-6.519970e-08,7.636343e-10,-1.188088e-07,7.694246e-09,7.753199e-10,1.660419e-22,1.188088e-07
378,0.702273,-1,turbulent,mid,-6.702757e-08,4.880082e-10,-1.217654e-07,7.463373e-09,7.440665e-10,1.468586e-22,1.217654e-07
379,0.712221,-1,turbulent,mid,-6.925850e-08,4.514155e-11,-1.252602e-07,7.110094e-09,7.104564e-10,1.300762e-22,1.252602e-07
380,0.722168,-1,turbulent,mid,-7.193898e-08,-3.368578e-10,-1.295294e-07,6.891021e-09,6.718235e-10,1.153838e-22,1.295294e-07
381,0.732113,-1,turbulent,mid,-7.430147e-08,-5.523523e-10,-1.332049e-07,6.819459e-09,6.354504e-10,1.024910e-22,1.332049e-07
382,0.742057,-1,turbulent,mid,-7.667291e-08,-2.322873e-10,-1.368742e-07,7.447426e-09,5.985978e-10,9.115360e-23,1.368742e-07
383,0.751999,-1,turbulent,mid,-7.929341e-08,-3.826794e-10,-1.408594e-07,7.491087e-09,5.604558e-10,8.117308e-23,1.408594e-07
384,0.761940,-1,turbulent,mid,-8.253242e-08,-6.913777e-11,-1.457533e-07,8.215735e-09,5.170410e-10,7.237988e-23,1.457533e-07
385,0.771879,-1,turbulent,mid,-8.593170e-08,-4.560398e-10,-1.508789e-07,8.058625e-09,4.729509e-10,6.462985e-23,1.508789e-07
386,0.781817,-1,turbulent,mid,-9.002686e-08,-5.845603e-10,-1.570611e-07,8.115234e-09,4.235529e-10,5.777670e-23,1.570611e-07
387,0.791753,-1,turbulent,mid,-9.422495e-08,-1.123743e-09,-1.632539e-07,7.902897e-09,3.716564e-10,5.171205e-23,1.632539e-07
388,0.801688,-1,turbulent,mid,-9.953421e-08,-1.063336e-09,-1.711610e-07,8.387452e-09,3.126540e-10,4.634454e-23,1.711610e-07
389,0.811621,-1,turbulent,mid,-1.043872e-07,-1.151378e-09,-1.782519e-07,8.740897e-09,2.544087e-10,4.157790e-23,1.782519e-07
390,0.821553,-1,turbulent,mid,-1.096323e-07,-4.465843e-10,-1.857987e-07,1.003211e-08,1.940843e-10,3.734056e-23,1.857987e-07
391,0.831483,-1,turbulent,mid,-1.159559e-07,-7.419855e-10,-1.949983e-07,1.010712e-08,1.273067e-10,3.356249e-23,1.949983e-07
392,0.841411,-1,turbulent,mid,-1.229347e-07,-9.393578e-10,-2.048878e-07,1.046663e-08,5.262553e-11,3.019517e-23,2.048878e-07
