idx,sigma_rel_max,abs_align_over_Fnorm
240,3.8843497484447758e-03,3.77364546e-02
241,3.8688215751532754e-03,4.09289371e-03
242,3.8558286328119916e-03,4.49888244e-02
243,3.8331693925832172e-03,5.35908770e-03
244,3.7808096485972566e-03,2.13389164e-02
245,3.7677774997325682e-03,7.18268736e-04
246,3.7541054840684340e-03,2.79764546e-03
247,3.7338977464549650e-03,3.27250587e-03
248,3.6895056805339487e-03,1.84584650e-03
249,3.6738948228120382e-03,3.35309433e-02
250,3.6341850846518015e-03,5.86774676e-02
251,3.6301179195245242e-03,1.24906952e-02
252,3.6049960459147452e-03,4.20949299e-02
253,3.5817137757989878e-03,8.09089418e-03
254,3.5325468396034039e-03,3.50333557e-02
255,3.5116861199907430e-03,2.92143865e-02
256,3.5112185043230755e-03,1.74369800e-02
257,3.4989682204735915e-03,2.83416749e-02
258,3.4334848297247170e-03,3.36765608e-04
259,3.4146817745580814e-03,7.24434565e-03
260,3.4011264414833299e-03,7.09773187e-03
261,3.3866382891972499e-03,3.87173084e-02
262,3.3508674704044094e-03,3.77743692e-02
263,3.3247619641074001e-03,2.65857144e-03
264,3.3114992083508430e-03,3.62819063e-02
265,3.3030092396140521e-03,4.45415167e-03
266,3.2505879388148003e-03,2.11577968e-02
267,3.2288612698609695e-03,4.74034448e-02
268,3.2281151849889293e-03,4.37573585e-02
269,3.1965394841815924e-03,2.98404733e-02
270,3.1513200742920139e-03,2.82296839e-02
271,3.1285375793495629e-03,1.51711925e-02
272,3.1018073585790903e-03,1.63759498e-03
273,3.0787893309297599e-03,1.09528161e-02
274,3.0596382564321103e-03,6.50089650e-02
275,3.0434733809134454e-03,4.13108116e-03
276,3.0272340576334182e-03,3.76063879e-02
277,2.9805755099902389e-03,1.00265126e-02
278,2.9697935403833029e-03,3.93941393e-02
279,2.9513574630306871e-03,1.04132041e-01
280,2.9100605649814660e-03,2.79903103e-03
281,2.8812793809528852e-03,3.42186885e-02
282,2.8641449759002125e-03,7.51700660e-02
283,2.8221304345334946e-03,2.75351138e-02
284,2.8121854311728739e-03,2.39111544e-03
285,2.7987313782062125e-03,4.22316663e-02
286,2.7682645845434031e-03,8.09107700e-02
287,2.7267226907204145e-03,2.80209249e-02
288,2.7170048958816738e-03,2.04809926e-02
289,2.6789778392821433e-03,5.61041130e-02
290,2.6728878331923889e-03,1.19699972e-01
291,2.6312595040635912e-03,2.51179464e-03
292,2.6237182922856164e-03,4.97620657e-02
293,2.5786789503242148e-03,9.86509535e-02
294,2.5439670582320445e-03,3.30403191e-02
295,2.5431842201919931e-03,6.54442966e-03
296,2.5265580821909267e-03,1.01857223e-02
297,2.4699027392624316e-03,9.18113703e-02
298,2.4571717600936241e-03,5.17656907e-02
299,2.4379931972325205e-03,2.36858492e-02
300,2.4160792829012894e-03,1.12538250e-03
301,2.3947267331110608e-03,1.22124358e-01
302,2.3818666668209928e-03,7.15974516e-02
303,2.3402721632507103e-03,7.15491754e-02
304,2.3234338724360979e-03,1.48929878e-02
305,2.2840116349580612e-03,1.10550031e-01
306,2.2753871084902995e-03,2.13644755e-02
307,2.2261421515433351e-03,9.86800479e-03
308,2.2211969842961922e-03,2.92479941e-02
309,2.1826414305201646e-03,1.13917731e-02
310,2.1746771064404219e-03,7.18508608e-02
311,2.1393703170034541e-03,1.05915297e-03
312,2.1145587586419590e-03,6.55941132e-02
313,2.0991125473294541e-03,3.05497191e-02
314,2.0897935500483271e-03,2.02585414e-02
315,2.0804552695357107e-03,3.35420786e-02
316,2.0545863049669867e-03,1.09850598e-01
317,2.0347751487974183e-03,9.18055123e-02
318,2.0149833436539010e-03,1.87840553e-02
319,2.0051455127065862e-03,4.90013733e-02
320,1.9635214760863932e-03,2.94837497e-02
321,1.9363804538270893e-03,9.78633921e-03
