x,jump_legacy,jump_pin
2.2194,0.08459,9.11e-02
1.0374,0.06125,6.61e-02
1.0269,0.07186,7.75e-02
1.1404,0.03579,3.86e-02
2.1529,0.08618,9.28e-02
2.1729,0.08553,9.21e-02
2.4104,0.07205,7.77e-02
1.7043,0.08184,8.81e-02
1.3714,0.04402,4.75e-02
1.8171,0.07797,8.40e-02
1.1822,0.03810,4.11e-02
1.3564,0.07671,8.26e-02
1.2897,0.05070,5.47e-02
0.9658,0.07112,7.67e-02
1.6132,0.07634,8.23e-02
2.2532,0.07964,8.58e-02
2.1178,0.08497,9.15e-02
1.7451,0.07896,8.51e-02
1.3117,0.02402,2.60e-02
2.8325,0.06498,7.01e-02
2.3301,0.05016,5.41e-02
2.6048,0.05194,5.61e-02
2.7219,0.05522,5.96e-02
2.2650,0.03440,3.72e-02
2.3860,0.06102,6.58e-02
1.0130,0.07050,7.60e-02
1.0258,0.06243,6.74e-02
1.4917,0.07981,8.60e-02
1.0867,0.06904,7.45e-02
0.9824,0.06796,7.33e-02
0.8837,0.07654,8.24e-02
1.2195,0.05578,6.02e-02
1.8524,0.08253,8.89e-02
1.0236,0.06330,6.83e-02
0.9023,0.07398,7.97e-02
1.4501,0.07026,7.58e-02
0.9599,0.07061,7.61e-02
1.7228,0.08117,8.74e-02
1.0018,0.06622,7.14e-02
1.9377,0.06744,7.27e-02
1.0739,0.05563,6.01e-02
1.1500,0.01700,1.84e-02
1.1445,0.02007,2.16e-02
2.6851,0.07006,7.55e-02
2.6629,0.06132,6.61e-02
2.6963,0.06449,6.95e-02
2.4756,0.04718,5.09e-02
2.4751,0.05424,5.85e-02
2.4486,0.05332,5.75e-02
2.8145,0.05591,6.03e-02
2.3372,0.08695,9.37e-02
2.2519,0.08585,9.25e-02
1.1682,0.02132,2.31e-02
1.1507,0.02928,3.16e-02
1.2796,0.05049,5.45e-02
2.0935,0.07888,8.50e-02
0.9908,0.06690,7.22e-02
1.2271,0.03484,3.76e-02
0.8842,0.07587,8.17e-02
1.1565,0.01723,1.87e-02
1.1806,0.02263,2.45e-02
1.1654,0.02060,2.23e-02
2.9081,0.06777,7.31e-02
2.9768,0.05893,6.36e-02
1.3198,0.07939,8.55e-02
2.8584,0.08768,9.45e-02
1.5141,0.07738,8.34e-02
1.1584,0.02379,2.57e-02
1.4704,0.01425,1.54e-02
1.6568,0.02443,2.64e-02
1.9388,0.01446,1.57e-02
2.2948,0.08721,9.40e-02
1.0506,0.07626,8.21e-02
1.0973,0.04986,5.38e-02
2.6645,0.03070,3.32e-02
2.5751,0.04113,4.44e-02
3.0684,0.02440,2.64e-02
2.4472,0.02016,2.18e-02
2.5393,0.04702,5.08e-02
2.5044,0.03363,3.63e-02
2.4347,0.03761,4.06e-02
1.1832,0.03387,3.66e-02
1.9764,0.08382,9.03e-02
2.8013,0.05336,5.76e-02
2.0479,0.08551,9.21e-02
1.1879,0.06990,7.54e-02
1.1845,0.07388,7.96e-02
0.9348,0.07346,7.92e-02
5.5427,-0.01469,-1.56e-02
2.0250,0.06275,6.77e-02
1.0239,0.06394,6.90e-02
1.1144,0.04457,4.81e-02
1.3082,0.07897,8.51e-02
1.0919,0.07796,8.40e-02
1.5402,0.08061,8.68e-02
1.9910,0.07820,8.43e-02
2.5637,0.07464,8.05e-02
2.7091,0.07606,8.20e-02
2.5234,0.06662,7.18e-02
2.5410,0.07171,7.73e-02
2.3869,0.04270,4.61e-02
1.9537,0.05631,6.08e-02
2.0464,0.04222,4.56e-02
1.9199,0.05050,5.45e-02
1.7020,0.04275,4.62e-02
1.6724,0.05191,5.60e-02
1.6228,0.05362,5.79e-02
1.4995,0.04179,4.51e-02
1.5231,0.05802,6.26e-02
1.6205,0.06418,6.92e-02
1.8828,0.04654,5.02e-02
1.8408,0.03657,3.95e-02
1.4738,0.03354,3.62e-02
1.9175,0.08298,8.94e-02
2.1076,0.03268,3.53e-02
2.3116,0.02467,2.67e-02
2.2156,0.05009,5.41e-02
2.0448,0.01893,2.05e-02
2.1551,0.04836,5.22e-02
2.2135,0.05943,6.41e-02
2.0819,0.05424,5.85e-02
2.0399,0.04254,4.59e-02
0.9459,0.07682,8.27e-02
1.2565,0.07670,8.26e-02
0.8923,0.07525,8.10e-02
1.6608,0.08040,8.66e-02
2.0431,0.08444,9.10e-02
0.9835,0.07743,8.34e-02
1.0064,0.07406,7.98e-02
1.3831,0.07931,8.54e-02
1.1603,0.04587,4.95e-02
1.0907,0.04813,5.20e-02
2.1446,0.08275,8.92e-02
2.1844,0.08175,8.81e-02
1.1025,0.04783,5.16e-02
1.0772,0.05351,5.78e-02
1.0518,0.05922,6.39e-02
2.6995,0.03283,3.55e-02
2.8718,0.07422,8.00e-02
1.2921,0.03486,3.76e-02
0.9629,0.06984,7.53e-02
1.2913,0.06779,7.31e-02
1.8356,0.07893,8.50e-02
1.7722,0.08206,8.84e-02
0.9596,0.07492,8.07e-02
1.1974,0.03875,4.18e-02
1.6907,0.07789,8.39e-02
1.1095,0.05443,5.88e-02
1.1372,0.05239,5.66e-02
1.8463,0.07657,8.25e-02
1.8668,0.07475,8.06e-02
2.7334,0.04218,4.55e-02
1.1662,0.07839,8.44e-02
1.0352,0.06179,6.67e-02
2.2951,0.08286,8.93e-02
1.1008,0.04546,4.91e-02
1.2964,0.07717,8.31e-02
1.0982,0.04636,5.01e-02
1.0920,0.04697,5.07e-02
1.0937,0.04813,5.20e-02
2.0284,0.08274,8.91e-02
1.8124,0.08175,8.81e-02
1.9346,0.07678,8.27e-02
1.3676,0.03198,3.45e-02
0.9572,0.07036,7.59e-02
2.8937,0.03222,3.48e-02
3.0474,0.04102,4.43e-02
3.3008,0.05304,5.72e-02
3.1302,0.05451,5.88e-02
2.9700,0.05343,5.77e-02
3.7121,0.03123,3.38e-02
3.5009,0.05038,5.44e-02
4.0600,0.06287,6.78e-02
3.7737,0.05972,6.44e-02
3.3616,0.03173,3.43e-02
3.5585,0.03016,3.26e-02
3.1502,0.03187,3.44e-02
3.0612,0.04068,4.39e-02
4.4509,0.02588,2.80e-02
4.2021,0.03871,4.18e-02
4.7455,0.06661,7.18e-02
3.9724,0.04964,5.36e-02
3.9879,0.02312,2.50e-02
3.1659,0.06554,7.07e-02
3.1981,0.04435,4.79e-02
3.3828,0.04302,4.64e-02
3.5088,0.03452,3.73e-02
3.3110,0.03525,3.81e-02
3.4292,0.05029,5.43e-02
3.7433,0.05246,5.66e-02
3.3519,0.07327,7.90e-02
3.6014,0.06925,7.47e-02
3.5824,0.07869,8.48e-02
3.4709,0.06746,7.27e-02
3.8999,0.05947,6.41e-02
3.5354,0.07821,8.43e-02
3.7728,0.06978,7.52e-02
3.9639,0.07668,8.27e-02
3.7548,0.08503,9.16e-02
3.9120,0.04083,4.41e-02
3.7237,0.04480,4.84e-02
4.4301,0.05143,5.55e-02
4.4995,0.07610,8.20e-02
4.5510,0.02109,2.29e-02
4.1878,0.07063,7.61e-02
4.3379,0.06439,6.94e-02
4.0679,0.07577,8.17e-02
4.1834,0.04960,5.35e-02
4.8221,0.05763,6.22e-02
5.4772,0.03379,3.65e-02
3.6017,0.05343,5.76e-02
3.5367,0.04111,4.44e-02
3.7480,0.04250,4.59e-02
3.5992,0.06042,6.52e-02
3.7299,0.06060,6.54e-02
3.2823,0.03777,4.08e-02
3.1374,0.01321,1.43e-02
3.4327,0.01773,1.92e-02
2.9981,0.04902,5.29e-02
2.8776,0.04485,4.84e-02
10.8135,-31.14760,1.78e-15
1.6491,0.08094,8.72e-02
1.1522,0.02451,2.64e-02
1.8958,0.08407,9.06e-02
2.5883,0.02038,2.21e-02
2.8231,0.01992,2.16e-02
1.0276,0.06284,6.78e-02
2.2585,0.04056,4.38e-02
2.2121,0.04211,4.55e-02
1.1416,0.01008,1.09e-02
1.1287,0.03924,4.24e-02
1.4744,0.06509,7.02e-02
1.5564,0.06698,7.22e-02
1.6792,0.06934,7.48e-02
1.1263,0.03766,4.07e-02
1.1419,0.02247,2.42e-02
2.3161,0.05435,5.87e-02
1.1108,0.06777,7.31e-02
1.2916,0.05623,6.07e-02
1.3983,0.05490,5.93e-02
1.5220,0.05986,6.46e-02
1.9603,0.08225,8.86e-02
1.9159,0.07006,7.55e-02
0.9266,0.07415,7.99e-02
0.8928,0.07545,8.13e-02
1.4258,0.07985,8.60e-02
1.1209,0.04014,4.33e-02
2.5276,0.05885,6.35e-02
2.5084,0.06075,6.55e-02
2.0821,0.08375,9.02e-02
1.3262,0.07255,7.82e-02
1.1504,0.01149,1.25e-02
0.9613,0.07702,8.29e-02
0.9805,0.07613,8.20e-02
1.0730,0.06024,6.50e-02
0.8532,0.07579,8.16e-02
13.2974,-20.08951,-0.00e+00
0.8548,0.07608,8.19e-02
